dataset,method,trial,seed,n_features,n_neurons,n_output_heads,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s,gate_counts
monk,DLM,42,42,17,153,17,0.7106481194496155,0.6719160104986877,0.16184842586517334,0.9881575107574463,1.0,False,2278,stagnation_p2,31.706621963000543,"{'CONJ': 13, 'PRJB': 16, 'NCONJ': 8, 'NDISJ': 15, 'ANEG': 14, 'DISJ': 18, 'RIMP': 9, 'IMP': 7, 'NEGB': 17, 'NEGA': 12, 'BNEG': 8, 'PRJA': 16}"
monk,DLM,1042,1042,17,153,17,0.6944444179534912,0.7053571428571429,0.16196003556251526,0.9994945526123047,1.0,False,2763,stagnation_p2,27.41573177400005,"{'BNEG': 10, 'PRJA': 20, 'CONJ': 10, 'PRJB': 20, 'ANEG': 10, 'IMP': 11, 'DISJ': 9, 'NEGA': 21, 'NEGB': 18, 'RIMP': 9, 'NDISJ': 10, 'NCONJ': 5}"
monk,DLM,2042,2042,17,153,17,0.7083333134651184,0.6802030456852792,0.16352273523807526,0.9980680346488953,1.0,False,3000,max_iter,26.637272891000066,"{'NCONJ': 16, 'NEGB': 15, 'BNEG': 7, 'RIMP': 11, 'DISJ': 14, 'IMP': 12, 'NEGA': 15, 'PRJA': 15, 'NDISJ': 15, 'ANEG': 10, 'PRJB': 13, 'CONJ': 10}"
monk,DLM,3042,3042,17,153,17,0.7314814925193787,0.6881720430107527,0.15381181240081787,0.9999708533287048,1.0,False,2653,stagnation_p2,21.37901981200048,"{'PRJA': 11, 'NDISJ': 14, 'ANEG': 7, 'NEGA': 14, 'RIMP': 11, 'NEGB': 20, 'IMP': 13, 'PRJB': 14, 'DISJ': 14, 'BNEG': 8, 'NCONJ': 17, 'CONJ': 10}"
monk,DLM,4042,4042,17,153,17,0.7175925970077515,0.6611111111111111,0.1575789600610733,0.9875093102455139,1.0,False,2414,stagnation_p2,18.899198836999858,"{'NCONJ': 11, 'NEGA': 18, 'IMP': 14, 'RIMP': 11, 'NEGB': 16, 'DISJ': 10, 'BNEG': 7, 'PRJB': 14, 'ANEG': 16, 'NDISJ': 15, 'CONJ': 8, 'PRJA': 13}"
monk,DLM,5042,5042,17,153,17,0.7476851940155029,0.7046070460704607,0.15068647265434265,0.994196891784668,1.0,False,2510,stagnation_p2,60.02033020399995,"{'CONJ': 13, 'PRJB': 12, 'IMP': 14, 'DISJ': 8, 'BNEG': 17, 'NEGA': 10, 'ANEG': 10, 'RIMP': 9, 'NCONJ': 11, 'NDISJ': 16, 'PRJA': 19, 'NEGB': 14}"
monk,DLM,6042,6042,17,153,17,0.6782407164573669,0.6584766584766585,0.1569092571735382,0.9985067248344421,1.0,False,3000,max_iter,404.0189876989998,"{'NEGA': 18, 'DISJ': 12, 'NCONJ': 11, 'NEGB': 13, 'BNEG': 8, 'NDISJ': 10, 'IMP': 13, 'RIMP': 13, 'PRJA': 13, 'ANEG': 6, 'CONJ': 15, 'PRJB': 21}"
monk,DLM,7042,7042,17,153,17,0.7337962985038757,0.7028423772609819,0.15905793011188507,0.9999987483024597,1.0,False,2714,stagnation_p2,221.2454858379997,"{'PRJB': 20, 'PRJA': 15, 'ANEG': 10, 'NCONJ': 14, 'NEGB': 11, 'RIMP': 12, 'NDISJ': 11, 'IMP': 11, 'CONJ': 13, 'DISJ': 7, 'BNEG': 12, 'NEGA': 17}"
monk,DLM,8042,8042,17,153,17,0.75,0.7378640776699029,0.14323584735393524,0.9935492873191833,1.0,False,2666,stagnation_p2,32.258054924000135,"{'PRJB': 18, 'NEGA': 18, 'CONJ': 9, 'DISJ': 14, 'IMP': 14, 'BNEG': 17, 'NDISJ': 7, 'NCONJ': 9, 'PRJA': 17, 'RIMP': 6, 'ANEG': 11, 'NEGB': 13}"
monk,DLM,9042,9042,17,153,17,0.7268518805503845,0.7163461538461539,0.154704749584198,0.9983008503913879,1.0,False,2927,stagnation_p2,36.34368949800046,"{'DISJ': 10, 'NCONJ': 16, 'IMP': 15, 'NDISJ': 8, 'RIMP': 13, 'CONJ': 13, 'NEGA': 15, 'NEGB': 15, 'PRJB': 17, 'PRJA': 13, 'BNEG': 8, 'ANEG': 10}"
