dataset,method,trial,seed,n_features,n_neurons,n_output_heads,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s,gate_counts
mushroom,DLM,42,42,111,576,64,0.8236009478569031,0.6511627906976745,0.12972143292427063,0.9790270924568176,1.0,False,1665,stagnation_p2,1064.6567482499995,"{'CONJ': 25, 'PRJB': 53, 'PRJA': 87, 'NEGB': 79, 'NDISJ': 39, 'IMP': 39, 'NCONJ': 24, 'ANEG': 36, 'BNEG': 32, 'RIMP': 37, 'DISJ': 56, 'NEGA': 69}"
mushroom,DLM,1042,1042,111,576,64,0.8605028390884399,0.7417417417417418,0.12061286717653275,0.9530191421508789,1.0,False,1599,stagnation_p2,1166.9823129450015,"{'PRJB': 76, 'PRJA': 68, 'NDISJ': 47, 'DISJ': 56, 'ANEG': 33, 'NEGA': 73, 'IMP': 28, 'NEGB': 63, 'BNEG': 40, 'CONJ': 24, 'RIMP': 28, 'NCONJ': 40}"
mushroom,DLM,2042,2042,111,576,64,0.8288726806640625,0.6788432267884322,0.12061543762683868,0.9920807480812073,1.0,False,1735,stagnation_p2,1258.8899544379965,"{'NDISJ': 44, 'RIMP': 40, 'ANEG': 37, 'DISJ': 45, 'BNEG': 41, 'IMP': 35, 'PRJB': 57, 'NCONJ': 43, 'PRJA': 60, 'NEGB': 64, 'NEGA': 78, 'CONJ': 32}"
mushroom,DLM,3042,3042,111,576,64,0.8410381078720093,0.6965944272445821,0.12046132236719131,0.9954509139060974,1.0,False,1761,stagnation_p2,1274.3151771369994,"{'PRJB': 72, 'ANEG': 29, 'RIMP': 37, 'PRJA': 63, 'BNEG': 51, 'NDISJ': 32, 'DISJ': 45, 'CONJ': 28, 'NEGB': 78, 'IMP': 35, 'NEGA': 78, 'NCONJ': 28}"
mushroom,DLM,4042,4042,111,576,64,0.8491483926773071,0.7147239263803681,0.12231175601482391,0.9076345562934875,1.0,False,1537,stagnation_p2,1138.7012006139994,"{'RIMP': 36, 'DISJ': 39, 'ANEG': 33, 'NEGB': 65, 'PRJB': 67, 'IMP': 31, 'NCONJ': 38, 'NDISJ': 49, 'NEGA': 80, 'BNEG': 32, 'PRJA': 77, 'CONJ': 29}"
mushroom,DLM,5042,5042,111,576,64,0.8345499038696289,0.6899696048632219,0.11530695110559464,0.987454354763031,1.0,False,1689,stagnation_p2,1182.3475772099991,"{'DISJ': 40, 'ANEG': 36, 'PRJA': 71, 'BNEG': 46, 'NDISJ': 49, 'IMP': 42, 'NEGA': 71, 'RIMP': 41, 'PRJB': 60, 'NCONJ': 22, 'CONJ': 34, 'NEGB': 64}"
mushroom,DLM,6042,6042,111,576,64,0.8296837210655212,0.6656050955414012,0.12232445180416107,1.0,1.0,False,2000,max_iter,1448.4887071770027,"{'ANEG': 54, 'DISJ': 41, 'PRJB': 79, 'NEGA': 66, 'NDISJ': 42, 'CONJ': 37, 'NEGB': 72, 'IMP': 39, 'RIMP': 31, 'BNEG': 34, 'PRJA': 55, 'NCONJ': 26}"
mushroom,DLM,7042,7042,111,576,64,0.7891321778297424,0.5501730103806228,0.131107896566391,0.999259889125824,1.0,False,1864,stagnation_p2,1409.8681511590003,"{'NEGB': 69, 'ANEG': 34, 'NEGA': 57, 'CONJ': 33, 'PRJA': 70, 'NDISJ': 52, 'IMP': 33, 'RIMP': 36, 'BNEG': 36, 'DISJ': 57, 'PRJB': 72, 'NCONJ': 27}"
mushroom,DLM,8042,8042,111,576,64,0.8909164667129517,0.8125435540069686,0.11310795694589615,0.9319279789924622,1.0,False,1553,stagnation_p2,1138.4357117880027,"{'RIMP': 36, 'NEGB': 59, 'IMP': 32, 'CONJ': 35, 'DISJ': 43, 'NDISJ': 47, 'BNEG': 48, 'NCONJ': 38, 'PRJA': 76, 'ANEG': 36, 'PRJB': 61, 'NEGA': 65}"
mushroom,DLM,9042,9042,111,576,64,0.8613138794898987,0.7532467532467533,0.11836402863264084,0.9999300837516785,1.0,False,1977,stagnation_p2,1486.617053793998,"{'BNEG': 46, 'NEGA': 56, 'CONJ': 44, 'PRJB': 78, 'ANEG': 39, 'RIMP': 30, 'NDISJ': 46, 'NCONJ': 31, 'NEGB': 62, 'IMP': 38, 'DISJ': 43, 'PRJA': 63}"
