dataset,method,trial,seed,n_features,n_neurons,n_output_heads,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s,gate_counts
musk,DLM,42,42,166,576,64,0.8506444096565247,0.0,0.11510328948497772,0.9980409741401672,1.0,False,1471,stagnation_p2,684.321151737,"{'CONJ': 49, 'PRJB': 50, 'NCONJ': 50, 'NEGB': 52, 'NDISJ': 41, 'RIMP': 57, 'PRJA': 52, 'ANEG': 43, 'DISJ': 43, 'IMP': 48, 'BNEG': 45, 'NEGA': 46}"
musk,DLM,1042,1042,166,576,64,0.8506444096565247,0.0,0.11455395817756653,0.9342449307441711,1.0,False,1220,stagnation_p2,659.049112167002,"{'PRJB': 61, 'NCONJ': 47, 'NDISJ': 51, 'BNEG': 58, 'DISJ': 48, 'RIMP': 44, 'ANEG': 53, 'NEGA': 42, 'IMP': 43, 'CONJ': 47, 'NEGB': 41, 'PRJA': 41}"
musk,DLM,2042,2042,166,576,64,0.8506444096565247,0.0,0.12008998543024063,0.8800323605537415,1.0,False,1118,stagnation_p2,587.2905604959997,"{'RIMP': 42, 'ANEG': 53, 'CONJ': 69, 'DISJ': 52, 'BNEG': 49, 'NDISJ': 47, 'IMP': 49, 'NCONJ': 53, 'NEGB': 31, 'PRJB': 38, 'PRJA': 45, 'NEGA': 48}"
musk,DLM,3042,3042,166,576,64,0.8506444096565247,0.0,0.11802275478839874,0.8048914074897766,1.0,False,1175,stagnation_p2,674.3266024320001,"{'NCONJ': 57, 'ANEG': 53, 'RIMP': 47, 'PRJA': 30, 'BNEG': 59, 'PRJB': 45, 'CONJ': 46, 'IMP': 47, 'NDISJ': 44, 'NEGB': 63, 'NEGA': 48, 'DISJ': 37}"
musk,DLM,4042,4042,166,576,64,0.8506444096565247,0.0,0.11614386737346649,0.9940972924232483,1.0,False,1415,stagnation_p2,778.9353332859973,"{'NCONJ': 52, 'DISJ': 38, 'NDISJ': 45, 'ANEG': 47, 'NEGB': 51, 'PRJB': 48, 'RIMP': 54, 'CONJ': 50, 'BNEG': 40, 'IMP': 58, 'PRJA': 43, 'NEGA': 50}"
musk,DLM,5042,5042,166,576,64,0.8506444096565247,0.0,0.1159375011920929,0.8039472103118896,1.0,False,1139,stagnation_p2,639.2837171829997,"{'CONJ': 46, 'NCONJ': 51, 'ANEG': 54, 'NDISJ': 59, 'BNEG': 62, 'IMP': 58, 'NEGA': 37, 'RIMP': 45, 'PRJA': 43, 'DISJ': 37, 'PRJB': 45, 'NEGB': 39}"
musk,DLM,6042,6042,166,576,64,0.8506444096565247,0.0,0.11650731414556503,0.9620842337608337,1.0,False,1275,stagnation_p2,691.7892563560017,"{'NCONJ': 42, 'DISJ': 50, 'RIMP': 46, 'CONJ': 66, 'PRJB': 51, 'NDISJ': 44, 'NEGB': 38, 'IMP': 51, 'ANEG': 60, 'NEGA': 43, 'PRJA': 42, 'BNEG': 43}"
musk,DLM,7042,7042,166,576,64,0.8506444096565247,0.0,0.1195538118481636,0.6930084228515625,1.0,False,1142,stagnation_p2,604.5412471439995,"{'ANEG': 58, 'NDISJ': 51, 'IMP': 50, 'NCONJ': 51, 'PRJA': 46, 'BNEG': 46, 'DISJ': 57, 'NEGB': 33, 'CONJ': 56, 'RIMP': 41, 'NEGA': 47, 'PRJB': 40}"
musk,DLM,8042,8042,166,576,64,0.8506444096565247,0.0,0.1132950559258461,0.9900083541870117,1.0,False,1351,stagnation_p2,770.546535274003,"{'NCONJ': 54, 'IMP': 45, 'DISJ': 38, 'CONJ': 58, 'BNEG': 55, 'RIMP': 42, 'ANEG': 52, 'PRJA': 46, 'NDISJ': 45, 'NEGB': 50, 'PRJB': 50, 'NEGA': 41}"
musk,DLM,9042,9042,166,576,64,0.8506444096565247,0.0,0.11597995460033417,0.9139556288719177,1.0,False,1231,stagnation_p2,655.0746995990012,"{'ANEG': 46, 'CONJ': 69, 'NDISJ': 47, 'DISJ': 42, 'BNEG': 56, 'IMP': 51, 'NCONJ': 40, 'NEGB': 41, 'RIMP': 45, 'PRJB': 61, 'NEGA': 31, 'PRJA': 47}"
musk,DLM,10042,10042,166,576,64,0.8506444096565247,0.0,0.11510057002305984,0.8963378071784973,1.0,False,1223,stagnation_p2,568.9988686770012,"{'PRJA': 41, 'DISJ': 53, 'RIMP': 45, 'NEGA': 43, 'IMP': 50, 'CONJ': 62, 'NCONJ': 48, 'ANEG': 44, 'NDISJ': 40, 'BNEG': 55, 'PRJB': 53, 'NEGB': 42}"
musk,DLM,11042,11042,166,576,64,0.8506444096565247,0.0,0.1152028813958168,0.9407610893249512,1.0,False,1151,stagnation_p2,619.0664839099991,"{'RIMP': 56, 'DISJ': 52, 'IMP': 51, 'NDISJ': 39, 'PRJB': 44, 'NCONJ': 59, 'ANEG': 43, 'CONJ': 52, 'BNEG': 46, 'NEGA': 52, 'PRJA': 40, 'NEGB': 42}"
musk,DLM,12042,12042,166,576,64,0.8506444096565247,0.0,0.11266864091157913,0.88588947057724,1.0,False,1214,stagnation_p2,692.501063685002,"{'DISJ': 54, 'NCONJ': 61, 'NEGB': 45, 'CONJ': 60, 'ANEG': 50, 'RIMP': 59, 'NDISJ': 46, 'BNEG': 39, 'PRJA': 26, 'IMP': 52, 'NEGA': 39, 'PRJB': 45}"
musk,DLM,13042,13042,166,576,64,0.8506444096565247,0.0,0.12127626687288284,0.6627349257469177,1.0,False,1058,stagnation_p2,585.2419540789997,"{'DISJ': 44, 'BNEG': 53, 'IMP': 56, 'CONJ': 49, 'RIMP': 46, 'NEGB': 41, 'NEGA': 43, 'ANEG': 50, 'NDISJ': 45, 'NCONJ': 70, 'PRJA': 28, 'PRJB': 51}"
musk,DLM,14042,14042,166,576,64,0.8506444096565247,0.0,0.1149987056851387,0.5770807862281799,1.0,False,1069,stagnation_p2,575.3678216799999,"{'PRJB': 53, 'NCONJ': 45, 'CONJ': 50, 'ANEG': 45, 'IMP': 56, 'NEGA': 40, 'RIMP': 58, 'DISJ': 42, 'BNEG': 61, 'NDISJ': 40, 'NEGB': 41, 'PRJA': 45}"
musk,DLM,15042,15042,166,576,64,0.8506444096565247,0.0,0.115457683801651,0.9800757765769958,1.0,False,1315,stagnation_p2,757.8894356839992,"{'DISJ': 42, 'PRJA': 44, 'IMP': 44, 'NDISJ': 47, 'NCONJ': 50, 'CONJ': 68, 'RIMP': 61, 'PRJB': 43, 'BNEG': 43, 'ANEG': 54, 'NEGA': 44, 'NEGB': 36}"
musk,DLM,16042,16042,166,576,64,0.8506444096565247,0.0,0.11573359370231628,0.9594354629516602,1.0,False,1134,stagnation_p2,654.7132656629983,"{'ANEG': 47, 'NEGA': 52, 'IMP': 42, 'BNEG': 38, 'CONJ': 49, 'NEGB': 53, 'NDISJ': 48, 'RIMP': 58, 'DISJ': 61, 'PRJA': 36, 'NCONJ': 53, 'PRJB': 39}"
