dataset,method,trial,seed,n_features,n_neurons,n_output_heads,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s,gate_counts
spambase,DLM,42,42,57,513,57,0.6282608509063721,0.028409090909090908,0.2171582132577896,0.9998512864112854,1.0,False,1411,stagnation_p2,770.5866456870008,"{'NDISJ': 53, 'PRJB': 65, 'DISJ': 49, 'PRJA': 58, 'ANEG': 42, 'NEGA': 53, 'IMP': 31, 'BNEG': 26, 'RIMP': 37, 'NEGB': 54, 'CONJ': 22, 'NCONJ': 23}"
spambase,DLM,1042,1042,57,513,57,0.627173900604248,0.022792022792022793,0.21733181178569794,0.9999993443489075,1.0,False,1364,stagnation_p1,43.309220724000625,"{'DISJ': 37, 'BNEG': 33, 'NDISJ': 49, 'IMP': 34, 'CONJ': 30, 'ANEG': 30, 'NEGA': 54, 'PRJB': 59, 'PRJA': 58, 'RIMP': 35, 'NEGB': 58, 'NCONJ': 36}"
spambase,DLM,2042,2042,57,513,57,0.623913049697876,0.0,0.3489762544631958,0.13458842039108276,1.0,False,635,stagnation_p2,23.659485084999687,"{'NCONJ': 44, 'NDISJ': 39, 'BNEG': 34, 'CONJ': 31, 'IMP': 32, 'DISJ': 47, 'RIMP': 30, 'PRJB': 58, 'ANEG': 34, 'NEGB': 53, 'PRJA': 53, 'NEGA': 58}"
spambase,DLM,3042,3042,57,513,57,0.6326087117195129,0.05056179775280899,0.21328262984752655,0.9211810231208801,1.0,False,1532,stagnation_p2,46.20366300800015,"{'PRJA': 57, 'ANEG': 33, 'RIMP': 37, 'PRJB': 46, 'IMP': 33, 'NDISJ': 52, 'CONJ': 27, 'DISJ': 43, 'BNEG': 40, 'NEGB': 61, 'NCONJ': 27, 'NEGA': 57}"
spambase,DLM,4042,4042,57,513,57,0.634782612323761,0.061452513966480445,0.21864809095859528,0.9993454813957214,1.0,False,1319,stagnation_p2,37.27570700600154,"{'NEGA': 73, 'RIMP': 33, 'IMP': 39, 'PRJB': 50, 'ANEG': 30, 'CONJ': 28, 'NCONJ': 37, 'NEGB': 63, 'BNEG': 36, 'DISJ': 32, 'NDISJ': 40, 'PRJA': 52}"
spambase,DLM,5042,5042,57,513,57,0.636956512928009,0.10695187165775401,0.2074311077594757,0.9994327425956726,1.0,False,1943,stagnation_p2,60.42619003800064,"{'NEGB': 40, 'DISJ': 51, 'BNEG': 33, 'NDISJ': 58, 'IMP': 37, 'NEGA': 67, 'PRJB': 49, 'RIMP': 34, 'CONJ': 33, 'PRJA': 63, 'ANEG': 31, 'NCONJ': 17}"
spambase,DLM,6042,6042,57,513,57,0.6630434989929199,0.20918367346938777,0.21037645637989044,0.7477293610572815,1.0,False,1433,stagnation_p2,61.53581478200067,"{'NEGA': 53, 'IMP': 34, 'PRJB': 47, 'NEGB': 56, 'BNEG': 27, 'DISJ': 55, 'NDISJ': 58, 'CONJ': 39, 'ANEG': 49, 'RIMP': 30, 'PRJA': 49, 'NCONJ': 16}"
spambase,DLM,7042,7042,57,513,57,0.627173900604248,0.017191977077363897,0.21250513195991516,0.7020556926727295,1.0,False,1402,stagnation_p2,50.48684042700006,"{'ANEG': 26, 'DISJ': 48, 'PRJA': 56, 'NDISJ': 49, 'RIMP': 32, 'PRJB': 56, 'NEGB': 59, 'CONJ': 26, 'BNEG': 46, 'IMP': 29, 'NEGA': 62, 'NCONJ': 24}"
spambase,DLM,8042,8042,57,513,57,0.665217399597168,0.2182741116751269,0.21341267228126526,0.993321418762207,1.0,False,1775,stagnation_p2,47.169737455998984,"{'BNEG': 38, 'NDISJ': 50, 'DISJ': 44, 'NEGA': 58, 'IMP': 28, 'PRJB': 55, 'PRJA': 65, 'NCONJ': 34, 'CONJ': 29, 'RIMP': 34, 'NEGB': 57, 'ANEG': 21}"
spambase,DLM,9042,9042,57,513,57,0.6391304135322571,0.10752688172043011,0.2044779509305954,0.9888467788696289,1.0,False,1700,stagnation_p2,57.10466332000033,"{'NEGA': 56, 'NDISJ': 59, 'DISJ': 50, 'CONJ': 29, 'RIMP': 38, 'BNEG': 30, 'PRJB': 64, 'NCONJ': 29, 'NEGB': 44, 'IMP': 32, 'ANEG': 28, 'PRJA': 54}"
spambase,DLM,10042,10042,57,513,57,0.625,0.0226628895184136,0.21466095745563507,0.9998641014099121,1.0,False,1395,stagnation_p1,38.18327822699939,"{'NEGB': 52, 'DISJ': 52, 'CONJ': 32, 'ANEG': 35, 'BNEG': 37, 'RIMP': 33, 'IMP': 35, 'PRJA': 63, 'PRJB': 59, 'NEGA': 54, 'NDISJ': 38, 'NCONJ': 23}"
spambase,DLM,11042,11042,57,513,57,0.635869562625885,0.06685236768802229,0.2094474881887436,0.713212251663208,1.0,False,1409,stagnation_p2,39.79006266400029,"{'DISJ': 45, 'RIMP': 50, 'NDISJ': 43, 'ANEG': 29, 'NEGA': 56, 'NEGB': 52, 'PRJA': 51, 'PRJB': 65, 'IMP': 26, 'BNEG': 34, 'NCONJ': 33, 'CONJ': 29}"
spambase,DLM,12042,12042,57,513,57,0.623913049697876,0.005747126436781609,0.20973649621009827,0.7520657181739807,1.0,False,1429,stagnation_p2,36.878633977999925,"{'RIMP': 44, 'DISJ': 55, 'NEGB': 50, 'NDISJ': 66, 'ANEG': 38, 'NEGA': 45, 'BNEG': 24, 'PRJA': 37, 'IMP': 33, 'NCONJ': 28, 'PRJB': 59, 'CONJ': 34}"
spambase,DLM,13042,13042,57,513,57,0.623913049697876,0.005747126436781609,0.21398264169692993,1.0,1.0,False,1559,stagnation_p1,35.37454632899971,"{'NDISJ': 41, 'BNEG': 32, 'PRJA': 52, 'DISJ': 50, 'CONJ': 32, 'NEGB': 59, 'IMP': 24, 'NCONJ': 34, 'ANEG': 32, 'PRJB': 65, 'NEGA': 58, 'RIMP': 34}"
spambase,DLM,14042,14042,57,513,57,0.6293478012084961,0.02849002849002849,0.2199704349040985,0.9952535629272461,1.0,False,1311,stagnation_p2,28.70770247300061,"{'PRJB': 58, 'PRJA': 52, 'NCONJ': 30, 'ANEG': 46, 'NDISJ': 43, 'NEGA': 68, 'DISJ': 20, 'BNEG': 41, 'RIMP': 36, 'IMP': 41, 'CONJ': 19, 'NEGB': 59}"
spambase,DLM,15042,15042,57,513,57,0.635869562625885,0.06162464985994398,0.21727201342582703,0.9396200776100159,1.0,False,1554,stagnation_p2,34.19384691900086,"{'ANEG': 47, 'RIMP': 29, 'NDISJ': 43, 'NEGB': 53, 'PRJA': 65, 'DISJ': 62, 'CONJ': 33, 'BNEG': 35, 'PRJB': 45, 'IMP': 28, 'NEGA': 48, 'NCONJ': 25}"
