dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s
monk_1,DLM,42,10,0.9,17,0.7361111044883728,0.7076923076923077,0.14467743039131165,0.9962613582611084,1.0,False,2000,max_iter,9.5250190700026
monk_1,DLM,1042,10,0.9,17,0.75,0.6666666666666666,0.1690322458744049,0.9668843746185303,1.0,False,1611,stagnation_p2,7.04311503200006
monk_1,DLM,2042,10,0.9,17,0.9166666865348816,0.9090909090909091,0.11137096583843231,0.9934583306312561,1.0,False,1764,stagnation_p2,7.380408468998212
monk_1,DLM,3042,10,0.9,17,0.8333333134651184,0.8,0.13572581112384796,0.9746529459953308,1.0,False,1618,stagnation_p2,7.027392882999266
monk_1,DLM,4042,10,0.9,17,0.8055555820465088,0.7878787878787878,0.14661291241645813,0.9970643520355225,1.0,False,2000,max_iter,9.3885636720006
monk_1,DLM,5042,10,0.9,17,0.75,0.7272727272727273,0.1598387062549591,0.9094753265380859,1.0,False,1550,stagnation_p2,6.501554264999868
monk_1,DLM,6042,10,0.9,17,0.75,0.7272727272727273,0.13983871042728424,0.9734086990356445,1.0,False,1643,stagnation_p2,6.763339602999622
monk_1,DLM,7042,10,0.9,17,0.7638888955116272,0.711864406779661,0.145887091755867,0.9736404418945312,1.0,False,1629,stagnation_p2,6.921609315999376
monk_1,DLM,8042,10,0.9,17,0.9166666865348816,0.9090909090909091,0.12258065491914749,0.9661353230476379,1.0,False,1588,stagnation_p2,7.323138668994943
monk_1,DLM,9042,10,0.9,17,0.75,0.6666666666666666,0.15822581946849823,0.9810495972633362,1.0,False,1692,stagnation_p2,7.761212322999199
monk_1,DLM,10042,10,0.9,17,0.8333333134651184,0.8,0.13709677755832672,0.9828107953071594,1.0,False,1643,stagnation_p2,7.171508191997418
monk_1,DLM,11042,10,0.9,17,0.7314814925193787,0.6329113924050633,0.17209677398204803,0.9705226421356201,1.0,False,1601,stagnation_p2,6.661169237006106
monk_1,DLM,12042,10,0.9,17,0.7638888955116272,0.711864406779661,0.14919355511665344,0.9999997615814209,1.0,False,2000,max_iter,9.199585607995687
monk_1,DLM,13042,10,0.9,17,0.7361111044883728,0.7076923076923077,0.15620967745780945,0.9605289101600647,1.0,False,1573,stagnation_p2,6.844792238996888
monk_1,DLM,14042,10,0.9,17,0.7777777910232544,0.7333333333333333,0.14895160496234894,1.0,1.0,False,2000,max_iter,9.296820326999296
monk_1,DLM,15042,10,0.9,17,0.7685185074806213,0.7787610619469026,0.14854837954044342,0.8405922055244446,1.0,False,1490,stagnation_p2,6.337602476000029
monk_1,DLM,16042,10,0.9,17,0.7777777910232544,0.7419354838709677,0.14008063077926636,0.9962329268455505,1.0,False,1966,stagnation_p2,14.69991401200241
monk_1,DLM,17042,10,0.9,17,0.7777777910232544,0.75,0.15193548798561096,0.9806557297706604,1.0,False,1637,stagnation_p2,12.601268481004809
monk_1,DLM,18042,10,0.9,17,0.75,0.6666666666666666,0.15620966255664825,0.9976339340209961,1.0,False,1724,stagnation_p2,16.41690025400021
monk_1,DLM,19042,10,0.9,17,0.8055555820465088,0.7878787878787878,0.13854838907718658,0.9460282325744629,1.0,False,1545,stagnation_p2,21.56215022499964
monk_1,DLM,20042,10,0.9,17,0.75,0.6666666666666666,0.1386290192604065,0.9886155724525452,1.0,False,1708,stagnation_p2,12.223163177004608
monk_1,DLM,21042,10,0.9,17,0.7638888955116272,0.711864406779661,0.15774193406105042,0.8675848841667175,1.0,False,1490,stagnation_p2,11.70008336599858
monk_1,DLM,22042,10,0.9,17,0.75,0.6666666666666666,0.14661291241645813,0.9668543934822083,1.0,False,1623,stagnation_p2,13.287362154995208
monk_1,DLM,23042,10,0.9,17,0.6574074029922485,0.6890756302521008,0.1804032325744629,0.9907453656196594,1.0,False,1722,stagnation_p2,9.867411772000196
monk_1,DLM,24042,10,0.9,17,0.7037037014961243,0.68,0.16483871638774872,0.9965780377388,1.0,False,1781,stagnation_p2,8.958147855999414
monk_1,DLM,25042,10,0.9,17,0.6944444179534912,0.6451612903225806,0.16766129434108734,0.7616136074066162,1.0,False,1447,stagnation_p2,7.9541173560064635
monk_1,DLM,26042,10,0.9,17,0.75,0.7692307692307693,0.12556451559066772,0.9913600087165833,1.0,False,1855,stagnation_p2,10.246945156002766
monk_1,DLM,27042,10,0.9,17,0.7777777910232544,0.75,0.15370967984199524,0.9383990168571472,1.0,False,1548,stagnation_p2,8.334798484997009
monk_1,DLM,28042,10,0.9,17,0.75,0.7096774193548387,0.157258078455925,1.0,1.0,False,2000,max_iter,10.288004870002624
monk_1,DLM,29042,10,0.9,17,0.8055555820465088,0.8108108108108109,0.13475807011127472,0.977319061756134,1.0,False,1736,stagnation_p2,9.494487042997207
