dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
monk_1,Proximal_Residual,42,10,0.9,17,0.5,0.0,0.47580644488334656,False,499,0.9699165690035443
monk_1,Proximal_Residual,1042,10,0.9,17,0.5,0.0,0.47580644488334656,False,485,0.959534656998585
monk_1,Proximal_Residual,2042,10,0.9,17,0.5,0.0,0.47580644488334656,False,490,0.9629908939969027
monk_1,Proximal_Residual,3042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,1060,1.6670912769986899
monk_1,Proximal_Residual,4042,10,0.9,17,0.5,0.4,0.45967742800712585,False,525,0.9982717810053146
monk_1,Proximal_Residual,5042,10,0.9,17,0.5,0.0,0.47580644488334656,False,509,0.9785989109950606
monk_1,Proximal_Residual,6042,10,0.9,17,0.5,0.0,0.47580644488334656,False,581,1.0630074529981357
monk_1,Proximal_Residual,7042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,724,1.2074055100019905
monk_1,Proximal_Residual,8042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,518,1.001949367004272
monk_1,Proximal_Residual,9042,10,0.9,17,0.5,0.0,0.47580644488334656,False,523,1.0001115909981309
monk_1,Proximal_Residual,10042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,1468,2.0879145069993683
monk_1,Proximal_Residual,11042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,539,1.0267685430007987
monk_1,Proximal_Residual,12042,10,0.9,17,0.5,0.0,0.47580644488334656,False,1328,1.908609015001275
monk_1,Proximal_Residual,13042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,499,0.9776510770025197
monk_1,Proximal_Residual,14042,10,0.9,17,0.5,0.0,0.47580644488334656,False,679,1.1662617740003043
monk_1,Proximal_Residual,15042,10,0.9,17,0.5,0.0,0.47580644488334656,False,547,1.030835573998047
monk_1,Proximal_Residual,16042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,1148,1.639845391997369
monk_1,Proximal_Residual,17042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,494,0.9674448200021288
monk_1,Proximal_Residual,18042,10,0.9,17,0.5,0.0,0.47580644488334656,False,535,1.0059739470016211
monk_1,Proximal_Residual,19042,10,0.9,17,0.5,0.0,0.47580644488334656,False,521,1.006594637001399
monk_1,Proximal_Residual,20042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,487,0.9933238930025254
monk_1,Proximal_Residual,21042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,490,0.970815661996312
monk_1,Proximal_Residual,22042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,517,0.9947633679985302
monk_1,Proximal_Residual,23042,10,0.9,17,0.5,0.0,0.47580644488334656,False,498,0.9837245469971094
monk_1,Proximal_Residual,24042,10,0.9,17,0.5,0.0,0.47580644488334656,False,499,0.9791874459988321
monk_1,Proximal_Residual,25042,10,0.9,17,0.5,0.0,0.47580644488334656,False,525,1.02155977399525
monk_1,Proximal_Residual,26042,10,0.9,17,0.5,0.0,0.47580644488334656,False,527,1.0026994709987775
monk_1,Proximal_Residual,27042,10,0.9,17,0.5,0.0,0.47580644488334656,False,493,0.9810580530029256
monk_1,Proximal_Residual,28042,10,0.9,17,0.5,0.0,0.47580644488334656,False,490,0.9698944510018919
monk_1,Proximal_Residual,29042,10,0.9,17,0.5,0.0,0.47580644488334656,False,505,0.9811521400042693
