dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
monk_1,Proximal,42,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,607,0.6776425740026752
monk_1,Proximal,1042,10,0.9,17,0.5,0.0,0.47580644488334656,False,533,0.91290245300479
monk_1,Proximal,2042,10,0.9,17,0.5,0.0,0.47580644488334656,False,558,0.9273165359991253
monk_1,Proximal,3042,10,0.9,17,0.5,0.0,0.47580644488334656,False,494,0.8811125339998398
monk_1,Proximal,4042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,476,0.8610562370013213
monk_1,Proximal,5042,10,0.9,17,0.5,0.0,0.47580644488334656,False,661,0.7293967060031719
monk_1,Proximal,6042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,652,0.7115834780051955
monk_1,Proximal,7042,10,0.9,17,0.5,0.0,0.47580644488334656,False,548,0.9209090009971987
monk_1,Proximal,8042,10,0.9,17,0.6111111044883728,0.5882352941176471,0.30645161867141724,False,482,0.8623044490013854
monk_1,Proximal,9042,10,0.9,17,0.5,0.0,0.47580644488334656,False,643,1.0096197810053127
monk_1,Proximal,10042,10,0.9,17,0.6666666865348816,0.6,0.25,False,709,1.0721591540059308
monk_1,Proximal,11042,10,0.9,17,0.4444444477558136,0.09090909090909091,0.5080645084381104,False,555,0.9354522260036902
monk_1,Proximal,12042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,509,0.8823626419980428
monk_1,Proximal,13042,10,0.9,17,0.5,0.0,0.47580644488334656,False,514,0.8882464509952115
monk_1,Proximal,14042,10,0.9,17,0.5,0.0,0.47580644488334656,False,544,0.6193123090051813
monk_1,Proximal,15042,10,0.9,17,0.6666666865348816,0.5,0.35483869910240173,False,518,0.9022822340048151
monk_1,Proximal,16042,10,0.9,17,0.5,0.0,0.47580644488334656,False,552,0.9259798509956454
monk_1,Proximal,17042,10,0.9,17,0.5,0.0,0.47580644488334656,False,520,0.8942133140008082
monk_1,Proximal,18042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,804,1.1515419360002852
monk_1,Proximal,19042,10,0.9,17,0.5,0.0,0.47580644488334656,False,562,0.9329728849988896
monk_1,Proximal,20042,10,0.9,17,0.6666666865348816,0.6,0.27419355511665344,False,596,0.9609853049987578
monk_1,Proximal,21042,10,0.9,17,0.5,0.0,0.47580644488334656,False,501,0.885805600999447
monk_1,Proximal,22042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,597,0.6938565210002707
monk_1,Proximal,23042,10,0.9,17,0.5,0.0,0.47580644488334656,False,535,0.9103881400005776
monk_1,Proximal,24042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,552,0.623661612997239
monk_1,Proximal,25042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,521,0.8941580610044184
monk_1,Proximal,26042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,706,0.7679801630001748
monk_1,Proximal,27042,10,0.9,17,0.5,0.0,0.47580644488334656,False,761,0.8070456739951624
monk_1,Proximal,28042,10,0.9,17,0.75,0.6666666666666666,0.29032257199287415,False,826,1.184963957995933
monk_1,Proximal,29042,10,0.9,17,0.5,0.0,0.47580644488334656,False,544,0.9135214519992587
