dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
monk_1,STE_Residual,42,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,106,0.14194185600354103
monk_1,STE_Residual,1042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.13486287299747346
monk_1,STE_Residual,2042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,105,0.14022797899815487
monk_1,STE_Residual,3042,10,0.9,17,0.5370370149612427,0.13793103448275862,0.4354838728904724,False,119,0.15768282499630004
monk_1,STE_Residual,4042,10,0.9,17,0.5,0.0,0.47580644488334656,False,114,0.1610501339964685
monk_1,STE_Residual,5042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,136,0.1820681280005374
monk_1,STE_Residual,6042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.13284104299964383
monk_1,STE_Residual,7042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.13417713100352557
monk_1,STE_Residual,8042,10,0.9,17,0.6944444179534912,0.7659574468085106,0.30645161867141724,False,457,0.6204584700026317
monk_1,STE_Residual,9042,10,0.9,17,0.7314814925193787,0.7716535433070866,0.25806450843811035,False,233,0.33131405300082406
monk_1,STE_Residual,10042,10,0.9,17,0.625,0.4489795918367347,0.33870968222618103,False,323,0.4239555329986615
monk_1,STE_Residual,11042,10,0.9,17,0.5,0.0,0.47580644488334656,False,101,0.133783992001554
monk_1,STE_Residual,12042,10,0.9,17,0.5138888955116272,0.18604651162790697,0.42741936445236206,False,156,0.20773140699748183
monk_1,STE_Residual,13042,10,0.9,17,0.6388888955116272,0.48,0.3629032373428345,False,248,0.32812088400532957
monk_1,STE_Residual,14042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.13425897900015116
monk_1,STE_Residual,15042,10,0.9,17,0.5,0.05263157894736842,0.5,False,106,0.14087870900402777
monk_1,STE_Residual,16042,10,0.9,17,0.6342592835426331,0.4233576642335766,0.32258063554763794,False,163,0.21785203499894124
monk_1,STE_Residual,17042,10,0.9,17,0.9166666865348816,0.9090909090909091,0.024193547666072845,False,451,0.5930651620001299
monk_1,STE_Residual,18042,10,0.9,17,0.8657407164573669,0.8733624454148472,0.14516128599643707,False,421,0.5626668539989623
monk_1,STE_Residual,19042,10,0.9,17,0.9768518805503845,0.976303317535545,0.016129031777381897,False,256,0.3436881000016001
monk_1,STE_Residual,20042,10,0.9,17,0.5324074029922485,0.6353790613718412,0.524193525314331,False,106,0.14063391300442163
monk_1,STE_Residual,21042,10,0.9,17,0.48148149251937866,0.65,0.5322580933570862,False,101,0.13524435400177026
monk_1,STE_Residual,22042,10,0.9,17,0.7962962985038757,0.7441860465116279,0.1854838728904724,False,456,0.6005096140070236
monk_1,STE_Residual,23042,10,0.9,17,0.5,0.0,0.47580644488334656,False,101,0.13394525700277882
monk_1,STE_Residual,24042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.13478990300063742
monk_1,STE_Residual,25042,10,0.9,17,0.5,0.0,0.47580644488334656,False,101,0.13512502800585935
monk_1,STE_Residual,26042,10,0.9,17,0.7222222089767456,0.782608695652174,0.25,False,234,0.3126957400018
monk_1,STE_Residual,27042,10,0.9,17,0.5,0.0,0.47580644488334656,False,106,0.15256432900059735
monk_1,STE_Residual,28042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,115,0.1550682700035395
monk_1,STE_Residual,29042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.1350091970016365
