dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
monk_1,STE,42,10,0.9,17,0.6296296119689941,0.4117647058823529,0.3145161271095276,False,424,1.4718742370023392
monk_1,STE,1042,10,0.9,17,0.7777777910232544,0.7894736842105263,0.24193547666072845,False,228,0.27428338800382335
monk_1,STE,2042,10,0.9,17,0.5416666865348816,0.6857142857142857,0.47580644488334656,False,108,0.13669512400520034
monk_1,STE,3042,10,0.9,17,0.8055555820465088,0.7586206896551724,0.16935484111309052,False,504,0.6190146450026077
monk_1,STE,4042,10,0.9,17,0.9907407164573669,0.9906542056074766,0.0,True,497,0.6017954929993721
monk_1,STE,5042,10,0.9,17,0.7592592835426331,0.6829268292682927,0.22580644488334656,False,359,0.44895306500256993
monk_1,STE,6042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.12015982500452083
monk_1,STE,7042,10,0.9,17,0.7361111044883728,0.6415094339622641,0.22580644488334656,False,396,0.4746460870010196
monk_1,STE,8042,10,0.9,17,0.5,0.0,0.47580644488334656,False,178,0.21624272799817845
monk_1,STE,9042,10,0.9,17,0.8101851940155029,0.7657142857142857,0.16129031777381897,False,220,0.27393535100418376
monk_1,STE,10042,10,0.9,17,0.5648148059844971,0.6466165413533834,0.39516130089759827,False,176,0.21515765000367537
monk_1,STE,11042,10,0.9,17,0.6388888955116272,0.5517241379310345,0.3306451737880707,False,329,0.39876963999995496
monk_1,STE,12042,10,0.9,17,0.5972222089767456,0.6881720430107527,0.42741936445236206,False,765,0.9416560519966879
monk_1,STE,13042,10,0.9,17,0.5,0.0,0.47580644488334656,False,138,0.16673563700169325
monk_1,STE,14042,10,0.9,17,0.6435185074806213,0.5882352941176471,0.3145161271095276,False,158,0.19075821199658094
monk_1,STE,15042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,103,0.12292353399971034
monk_1,STE,16042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.12290307100192877
monk_1,STE,17042,10,0.9,17,0.8009259104728699,0.8,0.13709677755832672,False,475,0.561337690000073
monk_1,STE,18042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.12377370800095377
monk_1,STE,19042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,107,0.12859890699473908
monk_1,STE,20042,10,0.9,17,0.9907407164573669,0.9906542056074766,0.008064515888690948,False,499,0.5961657329971786
monk_1,STE,21042,10,0.9,17,0.7407407164573669,0.65,0.2338709682226181,False,343,0.42134120799892116
monk_1,STE,22042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,101,0.12013105799996993
monk_1,STE,23042,10,0.9,17,0.5,0.0,0.47580644488334656,False,101,0.12085729899990838
monk_1,STE,24042,10,0.9,17,0.5648148059844971,0.6948051948051948,0.4516128897666931,False,106,0.12685319100273773
monk_1,STE,25042,10,0.9,17,0.7962962985038757,0.7441860465116279,0.2016129046678543,False,285,0.3510218880037428
monk_1,STE,26042,10,0.9,17,0.8333333134651184,0.8571428571428571,0.15322580933570862,False,384,0.45725522900465876
monk_1,STE,27042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,313,0.37457022599846823
monk_1,STE,28042,10,0.9,17,0.5,0.6666666666666666,0.524193525314331,False,112,0.1341994039976271
monk_1,STE,29042,10,0.9,17,0.9629629850387573,0.9636363636363636,0.016129031777381897,False,732,0.8836055840001791
