dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s
mushroom,DLM,42,20,0.9,111,0.940794825553894,0.9070063694267516,0.07222861051559448,0.9981921315193176,1.0,False,1901,stagnation_p2,20.590333450003527
mushroom,DLM,1042,20,0.9,111,0.8892943859100342,0.8207485226526592,0.08848392963409424,0.9800699353218079,1.0,False,1668,stagnation_p2,19.643790907997754
mushroom,DLM,2042,20,0.9,111,0.9148418307304382,0.8605577689243028,0.07065223902463913,0.9879544377326965,1.0,False,1726,stagnation_p2,31.804300657997373
mushroom,DLM,3042,20,0.9,111,0.9160584211349487,0.8713486637663145,0.067136250436306,0.9931465983390808,1.0,False,1776,stagnation_p2,20.643793568000547
mushroom,DLM,4042,20,0.9,111,0.9274128079414368,0.883235485975212,0.06838326901197433,0.998185932636261,1.0,False,1873,stagnation_p2,21.37191121000069
mushroom,DLM,5042,20,0.9,111,0.8637469410896301,0.772972972972973,0.0912676751613617,0.9996262192726135,1.0,False,1908,stagnation_p2,24.180311716998403
mushroom,DLM,6042,20,0.9,111,0.9184914827346802,0.8669755129053607,0.07330840080976486,0.989250898361206,1.0,False,1719,stagnation_p2,20.370051406003768
mushroom,DLM,7042,20,0.9,111,0.9440389275550842,0.9123252858958069,0.05293627455830574,1.0,1.0,False,1961,stagnation_p2,22.61836171500181
mushroom,DLM,8042,20,0.9,111,0.9063260555267334,0.8444444444444444,0.07889753580093384,0.9995836615562439,1.0,False,1900,stagnation_p2,21.210245777998352
mushroom,DLM,9042,20,0.9,111,0.9172749519348145,0.8734491315136477,0.07275162637233734,0.9189860224723816,1.0,False,1563,stagnation_p2,18.98936973799573
mushroom,DLM,10042,20,0.9,111,0.8982157111167908,0.8281998631074606,0.06886029243469238,0.998622715473175,1.0,False,1883,stagnation_p2,18.87119276299927
mushroom,DLM,11042,20,0.9,111,0.9691808819770813,0.9536585365853658,0.06663965433835983,0.998007595539093,1.0,False,1913,stagnation_p2,19.375880004001374
mushroom,DLM,12042,20,0.9,111,0.9042984843254089,0.8401084010840109,0.07439976930618286,0.9963098168373108,1.0,False,1871,stagnation_p2,18.85289928199927
mushroom,DLM,13042,20,0.9,111,0.8519870042800903,0.7484493452791179,0.10198959708213806,0.9456443786621094,1.0,False,1573,stagnation_p2,15.84679035100271
mushroom,DLM,14042,20,0.9,111,0.8730738162994385,0.7971484121840571,0.08141084760427475,0.9793984293937683,1.0,False,1656,stagnation_p2,16.82526742099435
mushroom,DLM,15042,20,0.9,111,0.9014598727226257,0.835030549898167,0.09917652606964111,0.9976789355278015,1.0,False,1846,stagnation_p2,18.683689502999187
mushroom,DLM,16042,20,0.9,111,0.915652871131897,0.8583106267029973,0.08143674582242966,0.8450556397438049,1.0,False,1507,stagnation_p2,25.33550517399999
mushroom,DLM,17042,20,0.9,111,0.9330900311470032,0.8933419521654816,0.06900631636381149,0.9993931651115417,1.0,False,1813,stagnation_p2,22.361609633997432
mushroom,DLM,18042,20,0.9,111,0.8746958374977112,0.7797576621525303,0.09030534327030182,0.8804383277893066,1.0,False,1509,stagnation_p2,15.020328828999482
mushroom,DLM,19042,20,0.9,111,0.912003219127655,0.8548494983277592,0.0761881098151207,0.9966012835502625,1.0,False,1832,stagnation_p2,18.290937620004115
mushroom,DLM,20042,20,0.9,111,0.9635036587715149,0.9446494464944649,0.06455345451831818,0.9814937114715576,1.0,False,1707,stagnation_p2,16.952549754001666
mushroom,DLM,21042,20,0.9,111,0.8698296546936035,0.7943625880845612,0.08986835926771164,0.9908387064933777,1.0,False,1734,stagnation_p2,17.14346793999721
mushroom,DLM,22042,20,0.9,111,0.8978102207183838,0.8273972602739726,0.06788452714681625,0.9999939799308777,1.0,False,1883,stagnation_p2,18.51549306800007
mushroom,DLM,23042,20,0.9,111,0.944849967956543,0.9137055837563451,0.0575084313750267,0.9281396865844727,1.0,False,1562,stagnation_p2,15.58960016999481
mushroom,DLM,24042,20,0.9,111,0.9574209451675415,0.9333333333333333,0.08163351565599442,0.9997301697731018,1.0,False,1867,stagnation_p2,18.260373990000517
mushroom,DLM,25042,20,0.9,111,0.9229521751403809,0.8751642575558476,0.08959000557661057,1.0,1.0,False,2000,max_iter,20.635128942005394
mushroom,DLM,26042,20,0.9,111,0.8832116723060608,0.797752808988764,0.08892509341239929,0.953436553478241,1.0,False,1608,stagnation_p2,15.902309851997416
mushroom,DLM,27042,20,0.9,111,0.9172749519348145,0.8647214854111406,0.06301191449165344,0.9950525164604187,1.0,False,1838,stagnation_p2,18.60167080800602
mushroom,DLM,28042,20,0.9,111,0.8888888955116272,0.8094575799721836,0.0790790393948555,0.9999635815620422,1.0,False,1951,stagnation_p2,19.621007987996563
mushroom,DLM,29042,20,0.9,111,0.9428223967552185,0.9102482495225971,0.07729119807481766,1.0,1.0,False,2000,max_iter,20.313273337000282
