dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
mushroom,LM_Residual,42,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,7.047443750001548
mushroom,LM_Residual,1042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,7.500815134997538
mushroom,LM_Residual,2042,20,0.9,111,0.6861313581466675,0.9976190476190476,0.03105437569320202,False,86,40.09437770800287
mushroom,LM_Residual,3042,20,0.9,111,0.3434711992740631,0.9940688018979834,0.054100990295410156,False,67,33.61572186400008
mushroom,LM_Residual,4042,20,0.9,111,0.6861313581466675,0.6840816326530612,0.3196837604045868,False,400,87.44862903399917
mushroom,LM_Residual,5042,20,0.9,111,0.9959448575973511,0.9940688018979834,0.0038516116328537464,False,400,32.000254655999015
mushroom,LM_Residual,6042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,13.850313349998032
mushroom,LM_Residual,7042,20,0.9,111,0.9626926183700562,0.9940688018979834,0.0049979244358837605,False,104,41.99596915800066
mushroom,LM_Residual,8042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,15.07425240700104
mushroom,LM_Residual,9042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,21.532480731999385
mushroom,LM_Residual,10042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,5.605538071002229
mushroom,LM_Residual,11042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,6.299436895002145
mushroom,LM_Residual,12042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,14.911775733002287
mushroom,LM_Residual,13042,20,0.9,111,0.9959448575973511,0.9940688018979834,0.0038516116328537464,False,400,33.98736983699928
mushroom,LM_Residual,14042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,10.792554240004392
mushroom,LM_Residual,15042,20,0.9,111,0.9545823335647583,0.928388746803069,0.04703020304441452,False,400,15.37210336499993
mushroom,LM_Residual,16042,20,0.9,111,0.9383617043495178,0.9007832898172323,0.06811270862817764,False,400,31.926378413001657
mushroom,LM_Residual,17042,20,0.9,111,0.915652871131897,0.998805256869773,0.0224310252815485,False,103,62.683758530001796
mushroom,LM_Residual,18042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,6.93433990599442
mushroom,LM_Residual,19042,20,0.9,111,0.65450119972229,0.8868894601542416,0.11336110532283783,False,66,37.789068218000466
mushroom,LM_Residual,20042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,18.968956623997656
mushroom,LM_Residual,21042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,6.264942192996386
mushroom,LM_Residual,22042,20,0.9,111,0.9724249839782715,0.9964328180737217,0.004237353336066008,False,139,54.50197151299653
mushroom,LM_Residual,23042,20,0.9,111,0.9383617043495178,0.9007832898172323,0.06811132282018661,False,84,30.29010666999966
mushroom,LM_Residual,24042,20,0.9,111,0.8544201254844666,0.9419191919191919,0.05702820420265198,False,91,35.21923047499877
mushroom,LM_Residual,25042,20,0.9,111,0.6484184861183167,0.6590640975226111,0.3508007228374481,False,400,10.330115169999772
mushroom,LM_Residual,26042,20,0.9,111,0.6066504716873169,0.5140280561122245,0.3865801692008972,False,400,35.111263241000415
mushroom,LM_Residual,27042,20,0.9,111,0.9647201895713806,0.9452485840151038,0.04388809949159622,False,120,46.092824674997246
mushroom,LM_Residual,28042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,400,6.415330187002837
mushroom,LM_Residual,29042,20,0.9,111,0.9837793707847595,0.9940688018979834,0.004062550608068705,False,148,54.14244574699842
