dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
mushroom,Proximal_Residual,42,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1324,5.89866190799512
mushroom,Proximal_Residual,1042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1141,3.854465133998019
mushroom,Proximal_Residual,2042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,1360,4.332400165003492
mushroom,Proximal_Residual,3042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,5.271416279996629
mushroom,Proximal_Residual,4042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1252,4.791608409999753
mushroom,Proximal_Residual,5042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1086,3.905172158003552
mushroom,Proximal_Residual,6042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,5.048067663003167
mushroom,Proximal_Residual,7042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.121748994999507
mushroom,Proximal_Residual,8042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.571555526999873
mushroom,Proximal_Residual,9042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,5.769801740003459
mushroom,Proximal_Residual,10042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1307,3.669557346998772
mushroom,Proximal_Residual,11042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.511204351998458
mushroom,Proximal_Residual,12042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.2533290370047325
mushroom,Proximal_Residual,13042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.793882701997063
mushroom,Proximal_Residual,14042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1087,4.354364158003591
mushroom,Proximal_Residual,15042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1352,5.439538020000327
mushroom,Proximal_Residual,16042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,1270,6.657637666001392
mushroom,Proximal_Residual,17042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1107,4.1484508969952
mushroom,Proximal_Residual,18042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,7.41074605799804
mushroom,Proximal_Residual,19042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1208,4.2838197219971335
mushroom,Proximal_Residual,20042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1221,6.823484515000018
mushroom,Proximal_Residual,21042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1230,4.352428398000484
mushroom,Proximal_Residual,22042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.969511777002481
mushroom,Proximal_Residual,23042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,1360,5.462544937996427
mushroom,Proximal_Residual,24042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.919284510004218
mushroom,Proximal_Residual,25042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1246,4.581505970003491
mushroom,Proximal_Residual,26042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1225,4.808611631997337
mushroom,Proximal_Residual,27042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1239,4.951516860994161
mushroom,Proximal_Residual,28042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1165,4.704238944999815
mushroom,Proximal_Residual,29042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1171,4.105549482002971
