dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
mushroom,Proximal,42,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,4.036247650998121
mushroom,Proximal,1042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,3.4626918049980304
mushroom,Proximal,2042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,1338,3.1950185890018474
mushroom,Proximal,3042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,872,2.9320219200017164
mushroom,Proximal,4042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,1360,5.108003326000471
mushroom,Proximal,5042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,5.262162427992735
mushroom,Proximal,6042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,1085,3.123114970003371
mushroom,Proximal,7042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,1019,3.414359907998005
mushroom,Proximal,8042,20,0.9,111,0.9286293387413025,0.8868894601542416,0.07541050016880035,False,1333,5.191621225996641
mushroom,Proximal,9042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,790,3.298542748001637
mushroom,Proximal,10042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,862,2.2197859439984313
mushroom,Proximal,11042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1262,3.1010425290005514
mushroom,Proximal,12042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1263,2.7489037349951104
mushroom,Proximal,13042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,1360,3.6061523179960204
mushroom,Proximal,14042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,3.535144729001331
mushroom,Proximal,15042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1199,2.649547373999667
mushroom,Proximal,16042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,1360,3.5636018120057997
mushroom,Proximal,17042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,1360,3.259703030002129
mushroom,Proximal,18042,20,0.9,111,0.6484184861183167,0.6590640975226111,0.09469389915466309,False,1360,3.9792096759993
mushroom,Proximal,19042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,894,3.6403536329962662
mushroom,Proximal,20042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,1360,3.0822834379941924
mushroom,Proximal,21042,20,0.9,111,0.6484184861183167,0.6590640975226111,0.09469389915466309,False,1360,3.005804744003399
mushroom,Proximal,22042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,867,2.2003411069963477
mushroom,Proximal,23042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,862,2.0897874219954247
mushroom,Proximal,24042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,1360,3.488549230998615
mushroom,Proximal,25042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,1360,3.9295779160020174
mushroom,Proximal,26042,20,0.9,111,0.34712085127830505,0.5100426049908704,0.6529495120048523,False,873,2.988458764993993
mushroom,Proximal,27042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,1282,3.4104664620026597
mushroom,Proximal,28042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,788,2.5517648750028457
mushroom,Proximal,29042,20,0.9,111,0.6618005037307739,0.6233062330623306,0.13916480541229248,False,1079,3.9507584480015794
