dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
mushroom,STE_Residual,42,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.321577688002435
mushroom,STE_Residual,1042,20,0.9,111,0.7599351406097412,0.6433734939759036,0.17892256379127502,False,118,0.536367706998135
mushroom,STE_Residual,2042,20,0.9,111,0.6755880117416382,0.6737357259380098,0.22055543959140778,False,283,1.5440154949974385
mushroom,STE_Residual,3042,20,0.9,111,0.9034874439239502,0.8740740740740741,0.048170484602451324,False,541,3.1463201430015033
mushroom,STE_Residual,4042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,119,0.28814327900181524
mushroom,STE_Residual,5042,20,0.9,111,0.6597729325294495,0.08505997818974918,0.33737078309059143,False,299,0.8864295079984004
mushroom,STE_Residual,6042,20,0.9,111,0.7672343850135803,0.4791288566243194,0.23616459965705872,False,258,0.8995191040012287
mushroom,STE_Residual,7042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,136,0.31412623000505846
mushroom,STE_Residual,8042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.49987393600167707
mushroom,STE_Residual,9042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,104,0.2611037779934122
mushroom,STE_Residual,10042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,114,0.2764304779993836
mushroom,STE_Residual,11042,20,0.9,111,0.6427412629127502,0.5456420835482207,0.1881968379020691,False,263,0.735338384998613
mushroom,STE_Residual,12042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.24327881399949547
mushroom,STE_Residual,13042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.24599694100470515
mushroom,STE_Residual,14042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.24932593500125222
mushroom,STE_Residual,15042,20,0.9,111,0.9363341331481934,0.9096142774899252,0.056177783757448196,False,489,1.3261881310027093
mushroom,STE_Residual,16042,20,0.9,111,0.6573398113250732,0.0,0.3445165157318115,False,110,0.3127772379957605
mushroom,STE_Residual,17042,20,0.9,111,0.5770478248596191,0.5955796820473052,0.42451348900794983,False,160,0.731561820000934
mushroom,STE_Residual,18042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,105,0.2640190169986454
mushroom,STE_Residual,19042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,101,0.38004516000364674
mushroom,STE_Residual,20042,20,0.9,111,0.6528791785240173,0.09322033898305085,0.32378876209259033,False,102,0.23726570900180377
mushroom,STE_Residual,21042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,170,0.4023316929960856
mushroom,STE_Residual,22042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,303,0.7270077029970707
mushroom,STE_Residual,23042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,105,0.2480394950034679
mushroom,STE_Residual,24042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,119,0.28743554299580865
mushroom,STE_Residual,25042,20,0.9,111,0.6196269392967224,0.6411629686304514,0.36286234855651855,False,309,1.2767505849988083
mushroom,STE_Residual,26042,20,0.9,111,0.44403892755508423,0.3782312925170068,0.5019258260726929,False,107,0.7474635809994652
mushroom,STE_Residual,27042,20,0.9,111,0.6257096529006958,0.22240943555181128,0.36012569069862366,False,213,0.6869865030021174
mushroom,STE_Residual,28042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,101,0.5987045099973329
mushroom,STE_Residual,29042,20,0.9,111,0.6609894633293152,0.018779342723004695,0.33919522166252136,False,103,0.3045070959997247
