dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
mushroom,STE,42,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,101,0.3129005469963886
mushroom,STE,1042,20,0.9,111,0.6496350169181824,0.23404255319148937,0.3255625367164612,False,122,0.38258485299593303
mushroom,STE,2042,20,0.9,111,0.33982157707214355,0.5072639225181598,0.6584228873252869,False,101,0.25015816900122445
mushroom,STE,3042,20,0.9,111,0.6025952696800232,0.5801199657240789,0.21855361759662628,False,470,1.2962324180043652
mushroom,STE,4042,20,0.9,111,0.5523114204406738,0.6028776978417266,0.4254763722419739,False,671,2.127508924000722
mushroom,STE,5042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,122,0.31142130499938503
mushroom,STE,6042,20,0.9,111,0.6536901593208313,0.08369098712446352,0.3420839309692383,False,156,0.461335861000407
mushroom,STE,7042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,116,0.38050108299648855
mushroom,STE,8042,20,0.9,111,0.6423357725143433,0.606951871657754,0.2595023214817047,False,324,1.1078187759994762
mushroom,STE,9042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,117,0.3904285870012245
mushroom,STE,10042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,106,0.33352468199882424
mushroom,STE,11042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,173,0.5961613660037983
mushroom,STE,12042,20,0.9,111,0.37510138750076294,0.49624060150375937,0.6020170450210571,False,140,0.43551172200386645
mushroom,STE,13042,20,0.9,111,0.6281427145004272,0.4095299420476497,0.3610885739326477,False,214,0.665288916999998
mushroom,STE,14042,20,0.9,111,0.7372262477874756,0.49295774647887325,0.2467818707227707,False,406,1.5339665139981662
mushroom,STE,15042,20,0.9,111,0.7060016393661499,0.23764458464773922,0.29951348900794983,False,235,0.9194987840019166
mushroom,STE,16042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,220,1.111300326003402
mushroom,STE,17042,20,0.9,111,0.6569343209266663,0.0,0.3456314504146576,False,122,0.37265997900249204
mushroom,STE,18042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,198,0.7980432110052789
mushroom,STE,19042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,108,0.5156335319989012
mushroom,STE,20042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,272,1.2157930129978922
mushroom,STE,21042,20,0.9,111,0.7583130598068237,0.4966216216216216,0.24528683722019196,False,266,1.357851416003541
mushroom,STE,22042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,131,0.596068049002497
mushroom,STE,23042,20,0.9,111,0.9245741963386536,0.8876811594202898,0.06304480135440826,False,510,2.5570195830005105
mushroom,STE,24042,20,0.9,111,0.900648832321167,0.8724622592399792,0.02820291928946972,False,840,5.350457209002343
mushroom,STE,25042,20,0.9,111,0.5016220808029175,0.5769363166953528,0.4860125780105591,False,286,0.7047413629989023
mushroom,STE,26042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,148,0.6267271090036957
mushroom,STE,27042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,139,0.28445306699723005
mushroom,STE,28042,20,0.9,111,0.6601784229278564,0.0,0.3415771424770355,False,183,0.5017126169987023
mushroom,STE,29042,20,0.9,111,0.6605839133262634,0.39740820734341253,0.27832961082458496,False,319,0.6360280219960259
