dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s
musk,DLM,42,102,0.9,166,0.8506444096565247,0.0,0.10995618999004364,0.870845377445221,1.0,False,1513,stagnation_p2,37.28844353999739
musk,DLM,1042,102,0.9,166,0.8506444096565247,0.0,0.11956026405096054,0.4972960650920868,1.0,False,1270,stagnation_p2,53.9773695019976
musk,DLM,2042,102,0.9,166,0.8506444096565247,0.0,0.1107146292924881,0.6297776699066162,1.0,False,1383,stagnation_p2,38.12569656299456
musk,DLM,3042,102,0.9,166,0.8506444096565247,0.0,0.11126786470413208,0.6659135222434998,1.0,False,1393,stagnation_p2,34.53999630200269
musk,DLM,4042,102,0.9,166,0.8506444096565247,0.0,0.11259659379720688,0.9624468684196472,1.0,False,1598,stagnation_p2,54.17207024399977
musk,DLM,5042,102,0.9,166,0.8506444096565247,0.0,0.11091210693120956,0.9838641285896301,1.0,False,1691,stagnation_p2,57.04106412600231
musk,DLM,6042,102,0.9,166,0.8506444096565247,0.0,0.11228539049625397,0.9635670781135559,1.0,False,1570,stagnation_p2,40.87994717199763
musk,DLM,7042,102,0.9,166,0.8506444096565247,0.0,0.1143697053194046,0.4082919657230377,1.0,False,1225,stagnation_p2,34.404970231000334
musk,DLM,8042,102,0.9,166,0.8506444096565247,0.0,0.11261945962905884,0.9994635581970215,1.0,False,1857,stagnation_p2,44.357924716001435
musk,DLM,9042,102,0.9,166,0.8506444096565247,0.0,0.1157337874174118,0.7268920540809631,1.0,False,1452,stagnation_p2,33.97340098199493
musk,DLM,10042,102,0.9,166,0.8506444096565247,0.0,0.11282811313867569,0.6888784766197205,1.0,False,1414,stagnation_p2,32.79783541800134
musk,DLM,11042,102,0.9,166,0.8506444096565247,0.0,0.11202888190746307,0.6451561450958252,1.0,False,1380,stagnation_p2,31.88091119699675
musk,DLM,12042,102,0.9,166,0.8506444096565247,0.0,0.11139622330665588,0.9692127108573914,1.0,False,1636,stagnation_p2,38.33548320699629
musk,DLM,13042,102,0.9,166,0.8506444096565247,0.0,0.10953132808208466,0.956754207611084,1.0,False,1592,stagnation_p2,36.99069856099959
musk,DLM,14042,102,0.9,166,0.8506444096565247,0.0,0.11225656419992447,0.76093989610672,1.0,False,1462,stagnation_p2,35.28072555499966
musk,DLM,15042,102,0.9,166,0.8506444096565247,0.0,0.10851486772298813,0.7717441916465759,1.0,False,1460,stagnation_p2,35.30614803000208
musk,DLM,16042,102,0.9,166,0.8506444096565247,0.0,0.112937331199646,0.9846683144569397,1.0,False,1484,stagnation_p2,57.3956615079951
musk,DLM,17042,102,0.9,166,0.8506444096565247,0.0,0.11331644654273987,0.5352869033813477,1.0,False,1313,stagnation_p2,30.862536272004945
musk,DLM,18042,102,0.9,166,0.8506444096565247,0.0,0.11410527676343918,0.5452319383621216,1.0,False,1333,stagnation_p2,36.57389939700079
musk,DLM,19042,102,0.9,166,0.8506444096565247,0.0,0.11186052858829498,0.957139790058136,1.0,False,1603,stagnation_p2,50.4924923159997
musk,DLM,20042,102,0.9,166,0.8506444096565247,0.0,0.11199133843183517,0.9993488192558289,1.0,False,1756,stagnation_p2,44.9011810699958
musk,DLM,21042,102,0.9,166,0.8506444096565247,0.0,0.111076720058918,0.9196937084197998,1.0,False,1550,stagnation_p2,58.474913655998535
musk,DLM,22042,102,0.9,166,0.8506444096565247,0.0,0.1120474562048912,0.9931719899177551,1.0,False,1758,stagnation_p2,57.96486503900087
musk,DLM,23042,102,0.9,166,0.8506444096565247,0.0,0.11118803918361664,0.9998698234558105,1.0,False,1711,stagnation_p2,43.240849118999904
musk,DLM,24042,102,0.9,166,0.8506444096565247,0.0,0.11350028961896896,0.5326308012008667,1.0,False,1298,stagnation_p2,32.70835220200388
musk,DLM,25042,102,0.9,166,0.8506444096565247,0.0,0.12110209465026855,0.5524688363075256,1.0,False,1146,stagnation_p2,34.53614383799868
musk,DLM,26042,102,0.9,166,0.8506444096565247,0.0,0.11331377178430557,0.9795312285423279,1.0,False,1455,stagnation_p2,34.25315819500247
musk,DLM,27042,102,0.9,166,0.8506444096565247,0.0,0.11484719067811966,0.5543952584266663,1.0,False,1170,stagnation_p2,27.53910106499825
musk,DLM,28042,102,0.9,166,0.8506444096565247,0.0,0.11675117909908295,0.6168947815895081,1.0,False,1180,stagnation_p2,27.430688175001706
musk,DLM,29042,102,0.9,166,0.8506444096565247,0.0,0.1104889065027237,0.985365629196167,1.0,False,1673,stagnation_p2,39.33194998799445
