dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
musk,LM_Residual,42,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,22.757016032999672
musk,LM_Residual,1042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,22.966168763996393
musk,LM_Residual,2042,102,0.9,166,0.8635329604148865,0.6462395543175488,0.08407385647296906,False,167,138.5680031209995
musk,LM_Residual,3042,102,0.9,166,0.0,0.453125,0.09351462125778198,False,73,60.04022495899699
musk,LM_Residual,4042,102,0.9,166,0.840030312538147,0.6540880503144654,0.08035437017679214,False,56,46.25101897299464
musk,LM_Residual,5042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,400,16.397705237999617
musk,LM_Residual,6042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,19.968060778002837
musk,LM_Residual,7042,102,0.9,166,0.8506444096565247,0.0,0.14878635108470917,False,90,75.37510133000615
musk,LM_Residual,8042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.3658506569991
musk,LM_Residual,9042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.576735227994504
musk,LM_Residual,10042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,31.44793448100245
musk,LM_Residual,11042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,65.7270949110025
musk,LM_Residual,12042,102,0.9,166,0.8445792198181152,0.5886524822695035,0.07485857605934143,False,70,59.458162551993155
musk,LM_Residual,13042,102,0.9,166,0.6679302453994751,0.6389776357827476,0.0656539797782898,False,123,103.47175872999651
musk,LM_Residual,14042,102,0.9,166,0.8506444096565247,0.06862745098039216,0.14871267974376678,False,60,49.30396360500163
musk,LM_Residual,15042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.709475301002385
musk,LM_Residual,16042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,24.259327176005172
musk,LM_Residual,17042,102,0.9,166,0.8506444096565247,0.0,0.15347369015216827,False,64,52.70509980699717
musk,LM_Residual,18042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.706088634004118
musk,LM_Residual,19042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,400,16.340113197999017
musk,LM_Residual,20042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,28.11678284899972
musk,LM_Residual,21042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,56.72817924099945
musk,LM_Residual,22042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.798327260003134
musk,LM_Residual,23042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,13.016742016996432
musk,LM_Residual,24042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,16.624619333000737
musk,LM_Residual,25042,102,0.9,166,0.8445792198181152,0.0,0.15933428704738617,False,101,84.91022894799971
musk,LM_Residual,26042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,77.85630803700042
musk,LM_Residual,27042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,46.62325291399611
musk,LM_Residual,28042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,36.384203604000504
musk,LM_Residual,29042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,400,11.370630548000918
