dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
musk,Proximal_Residual,42,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,536,2.5404981510000653
musk,Proximal_Residual,1042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,1390,4.144181940006092
musk,Proximal_Residual,2042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,513,2.012265518998902
musk,Proximal_Residual,3042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,735,2.5573831659930875
musk,Proximal_Residual,4042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,628,2.3155630070032203
musk,Proximal_Residual,5042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,900,3.198275542999909
musk,Proximal_Residual,6042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,1375,4.816904706996866
musk,Proximal_Residual,7042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,485,2.085073401001864
musk,Proximal_Residual,8042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,818,3.344162806002714
musk,Proximal_Residual,9042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,601,3.8081220949970884
musk,Proximal_Residual,10042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,621,2.4074102619997575
musk,Proximal_Residual,11042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,788,3.072846112998377
musk,Proximal_Residual,12042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,742,3.379044111003168
musk,Proximal_Residual,13042,102,0.9,166,0.4329037070274353,0.36058230683090703,0.3899107873439789,False,1438,4.172102645003179
musk,Proximal_Residual,14042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,1369,3.8145708509982796
musk,Proximal_Residual,15042,102,0.9,166,0.7642152905464172,0.6292134831460674,0.07307654619216919,False,1363,3.7245614100029343
musk,Proximal_Residual,16042,102,0.9,166,0.8468536734580994,0.0,0.15543437004089355,False,1375,4.184143345999473
musk,Proximal_Residual,17042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,535,2.041117018001387
musk,Proximal_Residual,18042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,490,2.295059162999678
musk,Proximal_Residual,19042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,1444,3.9760483900026884
musk,Proximal_Residual,20042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,1367,3.4304364750059904
musk,Proximal_Residual,21042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,753,2.97299224499875
musk,Proximal_Residual,22042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,487,1.694766824002727
musk,Proximal_Residual,23042,102,0.9,166,0.8476118445396423,0.0,0.15623846650123596,False,1361,3.959852508996846
musk,Proximal_Residual,24042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,558,2.160566178994486
musk,Proximal_Residual,25042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,696,2.5506769540006644
musk,Proximal_Residual,26042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,711,2.7842908070015255
musk,Proximal_Residual,27042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,474,2.0269755740009714
musk,Proximal_Residual,28042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,592,2.199421915996936
musk,Proximal_Residual,29042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,692,2.612175328999001
