dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
musk,STE_Residual,42,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,101,0.2682863029986038
musk,STE_Residual,1042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,101,0.23004669200599892
musk,STE_Residual,2042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,110,0.2567886839970015
musk,STE_Residual,3042,102,0.9,166,0.7187263369560242,0.5474452554744526,0.1439368724822998,False,567,1.4764454920004937
musk,STE_Residual,4042,102,0.9,166,0.3214556574821472,0.33575317604355714,0.47924864292144775,False,211,0.4569086000046809
musk,STE_Residual,5042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,117,0.25357629200152587
musk,STE_Residual,6042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,114,0.24119183600123506
musk,STE_Residual,7042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,101,0.22125666600186378
musk,STE_Residual,8042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,111,0.3454947880018153
musk,STE_Residual,9042,102,0.9,166,0.8423047661781311,0.0,0.1578836590051651,False,104,0.23306485699868063
musk,STE_Residual,10042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,111,0.24858056599623524
musk,STE_Residual,11042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,104,0.30685337799513945
musk,STE_Residual,12042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,102,0.3063815959976637
musk,STE_Residual,13042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,101,0.28621665299579035
musk,STE_Residual,14042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,101,0.34954694799671415
musk,STE_Residual,15042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,114,0.4395944520001649
musk,STE_Residual,16042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,106,0.2719705339986831
musk,STE_Residual,17042,102,0.9,166,0.8491281270980835,0.0,0.1553473025560379,False,103,0.22639897799672326
musk,STE_Residual,18042,102,0.9,166,0.8309324979782104,0.6837209302325581,0.08464149385690689,False,437,1.0060087730016676
musk,STE_Residual,19042,102,0.9,166,0.9150871634483337,0.7416413373860182,0.05866299942135811,False,409,1.0028747550022672
musk,STE_Residual,20042,102,0.9,166,0.8506444096565247,0.0,0.15534697473049164,False,106,0.24025330300355563
musk,STE_Residual,21042,102,0.9,166,0.730856716632843,0.5651438240270727,0.1711653172969818,False,541,1.207170754998515
musk,STE_Residual,22042,102,0.9,166,0.7551175355911255,0.1016949152542373,0.18285025656223297,False,101,0.3944869210026809
musk,STE_Residual,23042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,101,0.23069944199960446
musk,STE_Residual,24042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,101,0.23084618800203316
musk,STE_Residual,25042,102,0.9,166,0.7695223689079285,0.4106280193236715,0.1707966923713684,False,112,0.2671922480003559
musk,STE_Residual,26042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,113,3.518725351001194
musk,STE_Residual,27042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,103,0.4511919560027309
musk,STE_Residual,28042,102,0.9,166,0.8506444096565247,0.0,0.15533244609832764,False,101,0.3749743299995316
musk,STE_Residual,29042,102,0.9,166,0.14935557544231415,0.2598944591029024,0.8446675539016724,False,101,0.6046586789962021
