dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s
spambase,DLM,42,34,0.9,57,0.6423913240432739,0.10840108401084012,0.20912139117717743,0.9901902675628662,1.0,False,1195,stagnation_p2,14.730165836001106
spambase,DLM,1042,34,0.9,57,0.6326087117195129,0.055865921787709494,0.21377922594547272,0.9841330647468567,1.0,False,1228,stagnation_p2,14.94908192800358
spambase,DLM,2042,34,0.9,57,0.6391304135322571,0.11229946524064172,0.20927143096923828,0.9212474226951599,1.0,False,1547,stagnation_p2,18.394075228003203
spambase,DLM,3042,34,0.9,57,0.6293478012084961,0.0339943342776204,0.21525618433952332,0.9989790320396423,1.0,False,1325,stagnation_p2,16.437274998999783
spambase,DLM,4042,34,0.9,57,0.645652174949646,0.12365591397849462,0.21073056757450104,0.9977882504463196,1.0,False,1295,stagnation_p2,15.747576455003582
spambase,DLM,5042,34,0.9,57,0.656521737575531,0.1595744680851064,0.20845505595207214,0.9897916913032532,1.0,False,1682,stagnation_p2,20.321294834000582
spambase,DLM,6042,34,0.9,57,0.622826099395752,0.022535211267605635,0.21100297570228577,0.9916080832481384,1.0,False,1231,stagnation_p2,15.159616625998751
spambase,DLM,7042,34,0.9,57,0.655434787273407,0.19338422391857507,0.2056419402360916,0.9529517292976379,1.0,False,1603,stagnation_p2,19.09780505299568
spambase,DLM,8042,34,0.9,57,0.6413043737411499,0.09836065573770492,0.2103329300880432,0.9999992847442627,1.0,False,1463,stagnation_p1,18.39292728700093
spambase,DLM,9042,34,0.9,57,0.6293478012084961,0.055401662049861494,0.2090023010969162,0.6348502039909363,1.0,False,1351,stagnation_p2,16.197613634001755
spambase,DLM,10042,34,0.9,57,0.64673912525177,0.13333333333333333,0.20768889784812927,0.9384791254997253,1.0,False,1549,stagnation_p2,18.47601755800133
spambase,DLM,11042,34,0.9,57,0.635869562625885,0.09703504043126684,0.20741306245326996,0.9916243553161621,1.0,False,1822,stagnation_p2,21.7613432069993
spambase,DLM,12042,34,0.9,57,0.6402173638343811,0.11733333333333333,0.20810675621032715,0.9984609484672546,1.0,False,1293,stagnation_p2,15.914325022997218
spambase,DLM,13042,34,0.9,57,0.675000011920929,0.2725060827250608,0.20211656391620636,0.8968638777732849,1.0,False,1509,stagnation_p2,17.898312828998314
spambase,DLM,14042,34,0.9,57,0.6532608866691589,0.16272965879265092,0.2051173597574234,0.9887880682945251,1.0,False,1685,stagnation_p2,20.066748794997693
spambase,DLM,15042,34,0.9,57,0.658695638179779,0.20707070707070707,0.2054075449705124,1.0,1.0,False,1515,stagnation_p1,19.096520603998215
spambase,DLM,16042,34,0.9,57,0.6217391490936279,0.01694915254237288,0.21186035871505737,0.9622125625610352,1.0,False,1125,stagnation_p2,20.366822887001035
spambase,DLM,17042,34,0.9,57,0.6304348111152649,0.05555555555555555,0.209555983543396,0.9711257815361023,1.0,False,1611,stagnation_p2,27.353787626001576
spambase,DLM,18042,34,0.9,57,0.6804347634315491,0.28640776699029125,0.2118411511182785,0.9935621619224548,1.0,False,1236,stagnation_p2,22.867461768000794
spambase,DLM,19042,34,0.9,57,0.731521725654602,0.4928131416837782,0.20875497162342072,0.9796069264411926,1.0,False,1618,stagnation_p2,28.473961590003455
spambase,DLM,20042,34,0.9,57,0.666304349899292,0.22670025188916876,0.19996914267539978,0.9784700274467468,1.0,False,1618,stagnation_p2,28.424595738004427
spambase,DLM,21042,34,0.9,57,0.6521739363670349,0.13978494623655913,0.20674706995487213,0.9690971970558167,1.0,False,1599,stagnation_p2,28.1427287109982
spambase,DLM,22042,34,0.9,57,0.623913049697876,0.011428571428571429,0.2133752554655075,0.7876412868499756,1.0,False,1447,stagnation_p2,25.12383084499743
spambase,DLM,23042,34,0.9,57,0.635869562625885,0.07713498622589532,0.20913586020469666,0.8119463920593262,1.0,False,1464,stagnation_p2,25.284675414994126
spambase,DLM,24042,34,0.9,57,0.623913049697876,0.0,0.36219102144241333,0.14832262694835663,1.0,False,691,stagnation_p2,12.02546817700204
spambase,DLM,25042,34,0.9,57,0.633695662021637,0.05070422535211268,0.2140176147222519,0.7988213896751404,1.0,False,1466,stagnation_p2,25.366879141001846
spambase,DLM,26042,34,0.9,57,0.622826099395752,0.0,0.2167007327079773,0.7215215563774109,1.0,False,1422,stagnation_p2,24.924376315997506
spambase,DLM,27042,34,0.9,57,0.6402173638343811,0.09315068493150686,0.20552532374858856,0.9927385449409485,1.0,False,1728,stagnation_p2,30.230190335998486
spambase,DLM,28042,34,0.9,57,0.6326087117195129,0.05056179775280899,0.21025694906711578,0.9439484477043152,1.0,False,1547,stagnation_p2,27.213314762993832
spambase,DLM,29042,34,0.9,57,0.6945652365684509,0.35697940503432496,0.19865727424621582,0.9923433661460876,1.0,False,1789,stagnation_p2,31.4024497529972
