dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
spambase,LM_Residual,42,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,8.29516168099508
spambase,LM_Residual,1042,34,0.9,57,0.448913037776947,0.9085631349782293,0.05835158750414848,False,75,13.934994053997798
spambase,LM_Residual,2042,34,0.9,57,0.4836956560611725,0.0,0.20345988869667053,False,91,17.10999619100039
spambase,LM_Residual,3042,34,0.9,57,0.0,0.5466034755134281,0.36901408433914185,False,112,21.218508694000775
spambase,LM_Residual,4042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,8.220596403996751
spambase,LM_Residual,5042,34,0.9,57,0.782608687877655,0.8623595505617978,0.09621249884366989,False,152,29.149861060999683
spambase,LM_Residual,6042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,9.500511357997311
spambase,LM_Residual,7042,34,0.9,57,0.31956520676612854,0.5458937198067633,0.34810128808021545,False,78,15.167937648999214
spambase,LM_Residual,8042,34,0.9,57,0.5586956739425659,0.8685376661742984,0.08508675545454025,False,101,19.389824005003902
spambase,LM_Residual,9042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,400,15.992920966004021
spambase,LM_Residual,10042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,8.013093851004669
spambase,LM_Residual,11042,34,0.9,57,0.8260869383811951,0.8975903614457831,0.05864420160651207,False,124,25.829944470002374
spambase,LM_Residual,12042,34,0.9,57,0.8510869741439819,0.9058823529411765,0.05311916023492813,False,110,24.22309383600077
spambase,LM_Residual,13042,34,0.9,57,0.8173912763595581,0.8978978978978979,0.0569404736161232,False,119,24.335525227004837
spambase,LM_Residual,14042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,7.420372628999758
spambase,LM_Residual,15042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,8.787118134001503
spambase,LM_Residual,16042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,400,9.623141112002486
spambase,LM_Residual,17042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,400,7.339100668003084
spambase,LM_Residual,18042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,400,8.751178662998427
spambase,LM_Residual,19042,34,0.9,57,0.6706521511077881,0.9012517385257302,0.0647878497838974,False,100,19.689928787003737
spambase,LM_Residual,20042,34,0.9,57,0.35108694434165955,0.5466034755134281,0.46621349453926086,False,60,12.21175770300033
spambase,LM_Residual,21042,34,0.9,57,0.678260862827301,0.6492146596858639,0.17670828104019165,False,69,15.584378122002818
spambase,LM_Residual,22042,34,0.9,57,0.41956523060798645,0.8852459016393442,0.08176422864198685,False,122,25.118211836997943
spambase,LM_Residual,23042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,400,9.012416469005984
spambase,LM_Residual,24042,34,0.9,57,0.6010869741439819,0.7869415807560137,0.11729353666305542,False,116,23.942531444998167
spambase,LM_Residual,25042,34,0.9,57,0.800000011920929,0.8959276018099548,0.06600464135408401,False,107,22.421015911000723
spambase,LM_Residual,26042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,106,20.673369735995948
spambase,LM_Residual,27042,34,0.9,57,0.458695650100708,0.8608,0.08904576301574707,False,76,15.227670195999963
spambase,LM_Residual,28042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6011953353881836,False,400,15.28321828800108
spambase,LM_Residual,29042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,400,28.27408667000418
