dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
spambase,Proximal_Residual,42,34,0.9,57,0.6608695387840271,0.732519422863485,0.21975360810756683,False,1365,3.09926589600218
spambase,Proximal_Residual,1042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1368,3.014172374998452
spambase,Proximal_Residual,2042,34,0.9,57,0.6282608509063721,0.12466124661246612,0.31340348720550537,False,1363,3.212955836999754
spambase,Proximal_Residual,3042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1363,3.005832337999891
spambase,Proximal_Residual,4042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1365,3.2728817850002088
spambase,Proximal_Residual,5042,34,0.9,57,0.6630434989929199,0.5789473684210527,0.18098413944244385,False,1365,3.102272420997906
spambase,Proximal_Residual,6042,34,0.9,57,0.498913049697876,0.6148346738159071,0.431593656539917,False,1364,3.1311050500007696
spambase,Proximal_Residual,7042,34,0.9,57,0.6804347634315491,0.7564766839378239,0.12912677228450775,False,1362,3.006905697999173
spambase,Proximal_Residual,8042,34,0.9,57,0.644565224647522,0.18229166666666666,0.35782209038734436,False,1369,3.1784098419957445
spambase,Proximal_Residual,9042,34,0.9,57,0.6402173638343811,0.6809269162210339,0.14460892975330353,False,1364,3.0149185410045902
spambase,Proximal_Residual,10042,34,0.9,57,0.685869574546814,0.5408805031446541,0.203499436378479,False,1363,3.1478395110025303
spambase,Proximal_Residual,11042,34,0.9,57,0.729347825050354,0.8237037037037037,0.09585271775722504,False,1361,3.0348801859945524
spambase,Proximal_Residual,12042,34,0.9,57,0.627173900604248,0.29901960784313725,0.2448478788137436,False,1361,3.344803943000443
spambase,Proximal_Residual,13042,34,0.9,57,0.6282608509063721,0.29975429975429974,0.23876437544822693,False,1364,3.0626119730004575
spambase,Proximal_Residual,14042,34,0.9,57,0.6489130258560181,0.4444444444444444,0.22876609861850739,False,1362,3.095846292002534
spambase,Proximal_Residual,15042,34,0.9,57,0.6315217614173889,0.07222222222222222,0.38830024003982544,False,1366,3.1519006919988897
spambase,Proximal_Residual,16042,34,0.9,57,0.627173900604248,0.0670391061452514,0.3440958261489868,False,1361,3.0436522210002295
spambase,Proximal_Residual,17042,34,0.9,57,0.5130434632301331,0.6557692307692308,0.2991071045398712,False,1362,3.1383358640014194
spambase,Proximal_Residual,18042,34,0.9,57,0.6532608866691589,0.1837270341207349,0.3531624674797058,False,1364,3.038916366000194
spambase,Proximal_Residual,19042,34,0.9,57,0.574999988079071,0.7052023121387283,0.19868850708007812,False,1363,3.165158367002732
spambase,Proximal_Residual,20042,34,0.9,57,0.644565224647522,0.4155251141552511,0.22966645658016205,False,1365,3.073599852999905
spambase,Proximal_Residual,21042,34,0.9,57,0.6282608509063721,0.1837270341207349,0.2821471095085144,False,1364,3.236829851004586
spambase,Proximal_Residual,22042,34,0.9,57,0.689130425453186,0.5408805031446541,0.2035323977470398,False,1360,3.025934024997696
spambase,Proximal_Residual,23042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1365,3.168907229999604
spambase,Proximal_Residual,24042,34,0.9,57,0.5782608985900879,0.6905005107252298,0.2501111328601837,False,1363,3.1107617909947294
spambase,Proximal_Residual,25042,34,0.9,57,0.685869574546814,0.5408805031446541,0.20345579087734222,False,1362,3.1201379869962693
spambase,Proximal_Residual,26042,34,0.9,57,0.636956512928009,0.07777777777777778,0.38376888632774353,False,1363,3.2291397040025913
spambase,Proximal_Residual,27042,34,0.9,57,0.666304349899292,0.608,0.17793171107769012,False,1360,3.151924769001198
spambase,Proximal_Residual,28042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1364,3.0632887899992056
spambase,Proximal_Residual,29042,34,0.9,57,0.6413043737411499,0.22506393861892582,0.32118189334869385,False,1365,3.4131075969999074
