dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
spambase,Proximal,42,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1364,2.4642041719998815
spambase,Proximal,1042,34,0.9,57,0.6097826361656189,0.2193877551020408,0.24786777794361115,False,1363,2.532904170002439
spambase,Proximal,2042,34,0.9,57,0.6282608509063721,0.22564102564102564,0.2656950354576111,False,1360,2.3945967969993944
spambase,Proximal,3042,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1360,2.4409131569991587
spambase,Proximal,4042,34,0.9,57,0.46086955070495605,0.6120996441281139,0.38369542360305786,False,1366,2.6826874050020706
spambase,Proximal,5042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1366,2.462216380998143
spambase,Proximal,6042,34,0.9,57,0.427173912525177,0.570957095709571,0.551336407661438,False,1360,2.4914746419963194
spambase,Proximal,7042,34,0.9,57,0.6195651888847351,0.21079691516709512,0.24437843263149261,False,1362,2.5234985089991824
spambase,Proximal,8042,34,0.9,57,0.46630436182022095,0.5879354290569244,0.5136072039604187,False,1362,2.5164405389950844
spambase,Proximal,9042,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1371,2.574277644001995
spambase,Proximal,10042,34,0.9,57,0.6282608509063721,0.22564102564102564,0.2656950354576111,False,1360,2.427335751002829
spambase,Proximal,11042,34,0.9,57,0.4543478190898895,0.5805369127516778,0.5268025398254395,False,1362,2.4130864859980647
spambase,Proximal,12042,34,0.9,57,0.4315217435359955,0.571900826446281,0.5502928495407104,False,1364,2.84651265800494
spambase,Proximal,13042,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1366,2.4213741189960274
spambase,Proximal,14042,34,0.9,57,0.6391304135322571,0.1447721179624665,0.37363311648368835,False,1362,2.43856775900349
spambase,Proximal,15042,34,0.9,57,0.46086955070495605,0.6120996441281139,0.37648895382881165,False,1360,2.397199092003575
spambase,Proximal,16042,34,0.9,57,0.635869562625885,0.08839779005524862,0.38699254393577576,False,1360,2.4761739400055376
spambase,Proximal,17042,34,0.9,57,0.44565218687057495,0.5996533795493935,0.40967586636543274,False,1363,2.370837386995845
spambase,Proximal,18042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1364,2.556677779997699
spambase,Proximal,19042,34,0.9,57,0.49347826838493347,0.6376274328081557,0.3386911153793335,False,1360,2.39708944800077
spambase,Proximal,20042,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1360,2.556162503999076
spambase,Proximal,21042,34,0.9,57,0.46086955070495605,0.5864406779661017,0.5178889632225037,False,1364,2.3935886129984283
spambase,Proximal,22042,34,0.9,57,0.5554347634315491,0.6385767790262172,0.3744773864746094,False,1360,2.4157004650041927
spambase,Proximal,23042,34,0.9,57,0.625,0.1447721179624665,0.29162320494651794,False,1363,2.4206307450003806
spambase,Proximal,24042,34,0.9,57,0.6217391490936279,0.07242339832869081,0.32124337553977966,False,1360,2.5552921299968148
spambase,Proximal,25042,34,0.9,57,0.46630436182022095,0.5879354290569244,0.5149664878845215,False,1364,2.639863194002828
spambase,Proximal,26042,34,0.9,57,0.427173912525177,0.570957095709571,0.551336407661438,False,1363,2.4330435350057087
spambase,Proximal,27042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,1362,2.4547091029962758
spambase,Proximal,28042,34,0.9,57,0.553260862827301,0.6779661016949152,0.2765847444534302,False,1363,2.493033259997901
spambase,Proximal,29042,34,0.9,57,0.5173913240432739,0.6146953405017921,0.43848925828933716,False,1362,2.460786540999834
