dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
spambase,STE_Residual,42,34,0.9,57,0.6934782862663269,0.6566604127579737,0.14984950423240662,False,616,1.265173320993199
spambase,STE_Residual,1042,34,0.9,57,0.385869562625885,0.5798816568047337,0.46734702587127686,False,418,1.0414035909998347
spambase,STE_Residual,2042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.25825755299592856
spambase,STE_Residual,3042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.2032748720012023
spambase,STE_Residual,4042,34,0.9,57,0.40326085686683655,0.6395233366434955,0.29134678840637207,False,367,0.7574661360049504
spambase,STE_Residual,5042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.20631534200219903
spambase,STE_Residual,6042,34,0.9,57,0.5076087117195129,0.6173285198555957,0.42428815364837646,False,547,1.2907306499982951
spambase,STE_Residual,7042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.20649257699551526
spambase,STE_Residual,8042,34,0.9,57,0.38804349303245544,0.5980985306828004,0.37351253628730774,False,497,1.167620314998203
spambase,STE_Residual,9042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014735102653503,False,102,0.20563172599941026
spambase,STE_Residual,10042,34,0.9,57,0.45108696818351746,0.5909479077711358,0.4858729839324951,False,403,0.8815804619953269
spambase,STE_Residual,11042,34,0.9,57,0.58152174949646,0.5826771653543307,0.15976454317569733,False,578,1.3066044480001437
spambase,STE_Residual,12042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,124,0.24204422200273257
spambase,STE_Residual,13042,34,0.9,57,0.616304337978363,0.6703499079189686,0.135720357298851,False,321,0.6576166800005012
spambase,STE_Residual,14042,34,0.9,57,0.7054347991943359,0.5886939571150097,0.21328039467334747,False,308,0.8158002339987434
spambase,STE_Residual,15042,34,0.9,57,0.417391300201416,0.5769230769230769,0.5209932923316956,False,433,0.8618965069981641
spambase,STE_Residual,16042,34,0.9,57,0.47173914313316345,0.6219401631912964,0.3691328465938568,False,415,0.8351646920054918
spambase,STE_Residual,17042,34,0.9,57,0.656521737575531,0.6047430830039525,0.1623242050409317,False,393,0.9696321100054774
spambase,STE_Residual,18042,34,0.9,57,0.679347813129425,0.5138004246284501,0.2346990555524826,False,419,0.8351634350037784
spambase,STE_Residual,19042,34,0.9,57,0.375,0.5466034755134281,0.6009605526924133,False,101,0.2004727660023491
spambase,STE_Residual,20042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.21013789599965094
spambase,STE_Residual,21042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,103,0.31694123699708143
spambase,STE_Residual,22042,34,0.9,57,0.675000011920929,0.62890625,0.1915663778781891,False,410,0.8818014589996892
spambase,STE_Residual,23042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.20000309200258926
spambase,STE_Residual,24042,34,0.9,57,0.760869562625885,0.7075812274368231,0.16111604869365692,False,592,1.3232423840017873
spambase,STE_Residual,25042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.25451447700470453
spambase,STE_Residual,26042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.21931284300080733
spambase,STE_Residual,27042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.20104337099473923
spambase,STE_Residual,28042,34,0.9,57,0.7456521987915039,0.5971943887775552,0.20151691138744354,False,712,1.584898537999834
spambase,STE_Residual,29042,34,0.9,57,0.447826087474823,0.6273062730627307,0.3561503291130066,False,388,0.8514913339968189
