dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
spambase,STE,42,34,0.9,57,0.5173913240432739,0.6660137120470128,0.2684594392776489,False,475,0.9141230029999861
spambase,STE,1042,34,0.9,57,0.5163043737411499,0.6409048067860509,0.3166196346282959,False,505,0.9035099110042211
spambase,STE,2042,34,0.9,57,0.5347825884819031,0.6821862348178138,0.2565614879131317,False,426,0.9102212340003462
spambase,STE,3042,34,0.9,57,0.489130437374115,0.6170403587443947,0.4269998073577881,False,574,1.0118675880003138
spambase,STE,4042,34,0.9,57,0.4641304314136505,0.5912596401028277,0.4953359067440033,False,288,0.6878703449983732
spambase,STE,5042,34,0.9,57,0.539130449295044,0.6738916256157635,0.27505841851234436,False,321,0.6569916840016958
spambase,STE,6042,34,0.9,57,0.7141304612159729,0.5230125523012552,0.24380658566951752,False,568,0.9667857530002948
spambase,STE,7042,34,0.9,57,0.7336956262588501,0.8157894736842105,0.09867953509092331,False,493,0.9832222690019989
spambase,STE,8042,34,0.9,57,0.64673912525177,0.263681592039801,0.3139248490333557,False,370,0.626527617998363
spambase,STE,9042,34,0.9,57,0.7141304612159729,0.8774002954209749,0.07784774899482727,False,307,0.5157571730014752
spambase,STE,10042,34,0.9,57,0.6521739363670349,0.32367149758454106,0.31168797612190247,False,588,1.0992243110013078
spambase,STE,11042,34,0.9,57,0.519565224647522,0.6653465346534654,0.28569599986076355,False,524,1.1381788889993913
spambase,STE,12042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.16935563999868464
spambase,STE,13042,34,0.9,57,0.458695650100708,0.6065428824049514,0.3969082534313202,False,725,1.3757136829954106
spambase,STE,14042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.16547193600126775
spambase,STE,15042,34,0.9,57,0.7119565010070801,0.6840148698884758,0.17994268238544464,False,590,0.9963170670016552
spambase,STE,16042,34,0.9,57,0.5478261113166809,0.7091891891891892,0.19944733381271362,False,488,1.0121559800027171
spambase,STE,17042,34,0.9,57,0.5065217614173889,0.6518804243008679,0.291731595993042,False,713,1.387144628999522
spambase,STE,18042,34,0.9,57,0.5065217614173889,0.6303142329020333,0.3520607352256775,False,271,0.456209926000156
spambase,STE,19042,34,0.9,57,0.667391300201416,0.6691871455576559,0.13995473086833954,False,557,0.9833166800017352
spambase,STE,20042,34,0.9,57,0.4836956560611725,0.6089285714285714,0.4351455867290497,False,318,0.6507608839965542
spambase,STE,21042,34,0.9,57,0.592391312122345,0.4721030042918455,0.197465181350708,False,415,0.7019535639992682
spambase,STE,22042,34,0.9,57,0.376086950302124,0.5466034755134281,0.6014670133590698,False,101,0.17354129499290138
spambase,STE,23042,34,0.9,57,0.655434787273407,0.41818181818181815,0.24274598062038422,False,228,0.385860884001886
spambase,STE,24042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,112,0.18256932999793207
spambase,STE,25042,34,0.9,57,0.6489130258560181,0.3954022988505747,0.280195027589798,False,341,0.7442761359998258
spambase,STE,26042,34,0.9,57,0.6913043260574341,0.5784114052953157,0.21703046560287476,False,323,0.5529683630011277
spambase,STE,27042,34,0.9,57,0.4728260934352875,0.6826222684703434,0.22806814312934875,False,337,0.5676288199974806
spambase,STE,28042,34,0.9,57,0.623913049697876,0.0,0.39853301644325256,False,101,0.16454660100134788
spambase,STE,29042,34,0.9,57,0.6402173638343811,0.20618556701030927,0.3355904817581177,False,314,0.6675978040002519
