dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
monk,LM_base,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,12.0,stagnation
monk,LM_base,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,3.34,max_iter
monk,LM_base,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,20.43,max_iter
monk,LM_base,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,1.32,max_iter
monk,LM_base,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,16.63,max_iter
monk,LM_base,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,19.19,stagnation
monk,LM_base,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,3.42,max_iter
monk,LM_base,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,10.23,max_iter
monk,LM_base,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,47.61,stagnation
monk,LM_base,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,1.71,max_iter
monk,LM_delayed,42,0.6667,0.0,0.5,316.5297,0.0,True,False,2000,0.217742,3.2,max_iter
monk,LM_delayed,59,0.6667,0.6667,0.5,318.1059,0.0,True,False,2000,0.217742,2.36,max_iter
monk,LM_delayed,76,0.7879,0.0,0.5,324.7658,0.0,True,False,2000,0.112903,4.5,max_iter
monk,LM_delayed,93,0.6585,0.6667,0.75,311.7639,0.0,True,False,2000,0.217742,1.59,max_iter
monk,LM_delayed,110,0.7879,0.0,0.5,311.9864,0.0,True,False,2000,0.112903,3.85,max_iter
monk,LM_delayed,127,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,2.14,converged
monk,LM_delayed,144,0.9091,0.0,0.5,326.0897,0.0,True,False,2000,0.048387,11.47,max_iter
monk,LM_delayed,161,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,2.38,converged
monk,LM_delayed,178,0.6667,0.6667,0.5,294.7633,0.0,True,False,2000,0.217742,1.63,max_iter
monk,LM_delayed,195,0.6647,0.6667,0.5,303.7464,0.0,True,False,2000,0.201613,1.72,max_iter
monk,LM_progressive,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,8.64,stagnation
monk,LM_progressive,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,3.63,max_iter
monk,LM_progressive,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,11.18,max_iter
monk,LM_progressive,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,0.47,max_iter
monk,LM_progressive,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,10.97,max_iter
monk,LM_progressive,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,16.78,stagnation
monk,LM_progressive,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,3.09,max_iter
monk,LM_progressive,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,15.13,max_iter
monk,LM_progressive,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,36.25,stagnation
monk,LM_progressive,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,1.22,max_iter
monk,LM_dual,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,13.41,stagnation
monk,LM_dual,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,4.14,max_iter
monk,LM_dual,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,22.92,max_iter
monk,LM_dual,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,4.24,max_iter
monk,LM_dual,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,15.99,max_iter
monk,LM_dual,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,26.86,stagnation
monk,LM_dual,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,3.11,max_iter
monk,LM_dual,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,5.97,max_iter
monk,LM_dual,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,49.2,stagnation
monk,LM_dual,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,3.12,max_iter
monk,LM_hybrid,42,0.603,0.4901,0.581,190.6723,0.0,True,False,543,0.187304,9.36,p2_stagnation
monk,LM_hybrid,59,0.0,0.0,0.5,41.2499,0.0,True,False,269,0.459677,4.81,p2_stagnation
monk,LM_hybrid,76,1.0,0.6667,0.5,266.237,0.0,True,False,387,0.008026,15.26,p2_stagnation
monk,LM_hybrid,93,0.6667,0.6667,0.75,247.5814,0.0,True,False,255,0.217742,2.47,p2_stagnation
