dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
monk,LM_base,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,18.46,stagnation
monk,LM_base,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,15.22,max_iter
monk,LM_base,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,39.12,max_iter
monk,LM_base,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,5.44,max_iter
monk,LM_base,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,40.64,max_iter
monk,LM_base,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,36.37,stagnation
monk,LM_base,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,9.8,max_iter
monk,LM_base,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,27.47,max_iter
monk,LM_base,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,148.43,stagnation
monk,LM_base,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,10.03,max_iter
monk,LM_delayed,42,0.6667,0.0,0.5,316.5297,0.0,True,False,2000,0.217742,12.59,max_iter
monk,LM_delayed,59,0.6667,0.6667,0.5,318.1059,0.0,True,False,2000,0.217742,13.43,max_iter
monk,LM_delayed,76,0.7879,0.0,0.5,324.7658,0.0,True,False,2000,0.112903,25.73,max_iter
monk,LM_delayed,93,0.6585,0.6667,0.75,311.7639,0.0,True,False,2000,0.217742,4.99,max_iter
monk,LM_delayed,110,0.7879,0.0,0.5,311.9864,0.0,True,False,2000,0.112903,6.15,max_iter
monk,LM_delayed,127,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,6.44,converged
monk,LM_delayed,144,0.9091,0.0,0.5,326.0897,0.0,True,False,2000,0.048387,17.96,max_iter
monk,LM_delayed,161,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,9.27,converged
monk,LM_delayed,178,0.6667,0.6667,0.5,294.7633,0.0,True,False,2000,0.217742,10.26,max_iter
monk,LM_delayed,195,0.6647,0.6667,0.5,303.7464,0.0,True,False,2000,0.201613,10.73,max_iter
monk,LM_progressive,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,33.75,stagnation
monk,LM_progressive,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,9.8,max_iter
monk,LM_progressive,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,32.34,max_iter
monk,LM_progressive,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,3.11,max_iter
monk,LM_progressive,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,8.04,max_iter
monk,LM_progressive,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,36.0,stagnation
monk,LM_progressive,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,21.85,max_iter
monk,LM_progressive,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,24.25,max_iter
monk,LM_progressive,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,126.13,stagnation
monk,LM_progressive,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,2.54,max_iter
monk,LM_dual,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,9.42,stagnation
monk,LM_dual,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,7.41,max_iter
monk,LM_dual,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,19.53,max_iter
monk,LM_dual,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,2.36,max_iter
monk,LM_dual,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,13.2,max_iter
monk,LM_dual,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,29.32,stagnation
monk,LM_dual,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,7.43,max_iter
monk,LM_dual,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,7.67,max_iter
monk,LM_dual,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,66.05,stagnation
monk,LM_dual,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,6.48,max_iter
monk,LM_hybrid,42,0.6269,0.5767,0.5718,205.0011,0.0,True,False,448,0.178563,19.87,p2_stagnation
monk,LM_hybrid,59,0.0,0.0,0.5,41.2499,0.0,True,False,269,0.459677,4.99,p2_stagnation
monk,LM_hybrid,76,0.6667,0.6667,0.75,288.2123,0.0,True,False,738,0.13161,11.4,hardening_done
monk,LM_hybrid,93,0.6667,0.6667,0.75,247.5814,0.0,True,False,255,0.217742,3.57,p2_stagnation
monk,LM_hybrid,110,0.6667,0.6154,0.7222,288.0425,0.0,True,False,666,0.139652,9.6,hardening_done
monk,LM_hybrid,127,0.6667,0.6667,0.75,0.0,0.0,True,True,205,0.217742,4.25,dual_stop
monk,LM_hybrid,144,0.6667,0.6667,0.5,284.1851,0.0,True,False,269,0.540323,8.97,p2_stagnation
monk,LM_hybrid,161,0.8333,0.8,0.8333,315.8604,0.0,True,False,554,0.082237,10.43,hardening_done
monk,LM_hybrid,178,0.7112,0.6264,0.6991,225.1978,0.0,True,False,582,0.08996,6.66,hardening_done
monk,LM_hybrid,195,0.6667,0.6667,0.5,281.4163,0.0,True,False,571,0.155125,4.66,hardening_done
