dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
monk,LM_base,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,1.42,stagnation
monk,LM_base,59,0.6316,0.0,0.5,307.9884,0.0,True,False,300,0.233871,0.67,max_iter
monk,LM_base,76,0.0,0.6667,0.5,367.6437,0.0,True,False,300,0.459677,1.45,max_iter
monk,LM_base,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,300,0.217742,0.28,max_iter
monk,LM_base,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,300,0.362903,1.7,max_iter
monk,LM_base,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,2.72,stagnation
monk,LM_base,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,300,0.540323,0.55,max_iter
monk,LM_base,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,300,0.540323,0.95,max_iter
monk,LM_base,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,5.74,stagnation
monk,LM_base,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,300,0.225806,0.31,max_iter
monk,LM_base,212,0.0,0.0,0.5,371.9878,0.0,True,False,300,0.459677,0.66,max_iter
monk,LM_base,229,0.5319,0.4905,0.5671,251.919,0.0,True,False,50,0.319201,1.0,stagnation
monk,LM_base,246,1.0,1.0,1.0,0.0,0.0,True,True,49,0.0,1.21,converged
monk,LM_base,263,0.6545,0.0,0.5,314.9491,0.0,True,False,300,0.225806,0.25,max_iter
monk,LM_base,280,0.6667,0.6667,0.5,277.5314,0.0,True,False,300,0.540323,0.4,max_iter
monk,LM_base,297,0.0486,0.6667,0.5,323.5998,0.0,True,False,300,0.475806,0.62,max_iter
monk,LM_base,314,0.7143,0.7089,0.6806,244.9356,0.0,True,False,300,0.274194,0.8,max_iter
monk,LM_base,331,0.875,0.7143,0.7778,206.1154,0.0,True,False,125,0.093737,2.37,stagnation
monk,LM_base,348,0.3929,0.3267,0.5324,297.4171,0.0,True,False,59,0.227848,1.2,stagnation
monk,LM_base,365,0.8986,0.6819,0.7431,277.9724,0.0,True,False,231,0.014203,5.92,stagnation
monk,LM_base,382,0.9714,0.9714,0.9722,318.2917,0.0,True,False,208,0.011857,5.49,stagnation
monk,LM_base,399,0.6667,0.6667,0.5,324.2599,0.0,True,False,300,0.540323,1.49,max_iter
monk,LM_base,416,0.0,0.3333,0.3333,320.1224,0.0,True,False,300,0.459677,0.33,max_iter
monk,LM_base,433,0.6667,0.0,0.5,308.3563,0.0,True,False,300,0.217742,0.25,max_iter
monk,LM_base,450,0.0,0.1,0.5,266.4879,0.0,True,False,300,0.459677,1.08,max_iter
monk,LM_base,467,0.0,0.0,0.5,320.4226,0.0,True,False,300,0.459677,0.32,max_iter
monk,LM_base,484,0.0541,0.0714,0.5185,215.9994,0.0,True,False,69,0.427419,1.44,stagnation
monk,LM_base,501,0.844,0.0,0.5,263.92,0.0,True,False,127,0.163676,2.52,stagnation
monk,LM_base,518,0.7036,0.7036,0.5787,0.0,0.0,True,True,119,0.475806,2.25,converged
monk,LM_base,535,0.6667,0.6667,0.75,336.9503,0.0,True,False,300,0.217742,0.25,max_iter
monk,LM_delayed,42,0.6667,0.0,0.5,316.5297,0.0,True,False,300,0.217742,0.36,max_iter
monk,LM_delayed,59,0.6667,0.6667,0.5,318.1059,0.0,True,False,300,0.217742,0.43,max_iter
monk,LM_delayed,76,0.7879,0.0,0.5,324.7658,0.0,True,False,300,0.112903,0.55,max_iter
monk,LM_delayed,93,0.6585,0.6667,0.75,311.7639,0.0,True,False,300,0.217742,0.25,max_iter
monk,LM_delayed,110,0.7879,0.0,0.5,311.9864,0.0,True,False,300,0.112903,0.51,max_iter
monk,LM_delayed,127,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,0.34,converged
monk,LM_delayed,144,0.9091,0.0,0.5,326.0897,0.0,True,False,300,0.048387,1.31,max_iter
monk,LM_delayed,161,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,0.34,converged
monk,LM_delayed,178,0.6667,0.6667,0.5,294.7633,0.0,True,False,300,0.217742,0.28,max_iter
monk,LM_delayed,195,0.6647,0.6667,0.5,303.7464,0.0,True,False,300,0.201613,0.3,max_iter
monk,LM_delayed,212,0.9091,0.0,0.5,331.0526,0.0,True,False,300,0.056452,0.85,max_iter
monk,LM_delayed,229,0.6667,0.6667,0.5,0.0,0.0,True,True,17,0.540323,0.32,converged
