dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
mushroom,LM_base,42,0.0,0.0,0.6602,469.5842,0.0,True,False,150,0.341577,1.28,max_iter
mushroom,LM_base,59,0.0,0.0,0.6602,535.8307,0.0,True,False,150,0.341577,0.5,max_iter
mushroom,LM_base,76,0.0,0.1989,0.5166,361.9909,0.0,True,False,61,0.340113,1.67,stagnation
mushroom,LM_base,93,0.8869,0.6183,0.6545,540.8924,0.0,True,False,87,0.123263,3.24,stagnation
mushroom,LM_base,110,0.0,0.0,0.6602,540.3484,0.0,True,False,150,0.341577,1.21,max_iter
mushroom,LM_base,127,0.8745,0.0,0.6602,481.9362,0.0,True,False,71,0.140967,2.33,stagnation
mushroom,LM_base,144,0.9941,0.6638,0.6557,389.0,0.0,True,False,150,0.003852,2.58,max_iter
mushroom,LM_base,161,0.0,0.0,0.6602,469.8447,0.0,True,False,150,0.341577,0.5,max_iter
mushroom,LM_base,178,0.8573,0.0578,0.6695,487.9471,0.0,True,False,112,0.102723,3.42,stagnation
mushroom,LM_base,195,0.0,0.5073,0.3398,600.3654,0.0,True,False,150,0.341577,0.51,max_iter
mushroom,LM_base,212,0.0,0.0,0.6602,545.3481,0.0,True,False,150,0.341577,1.75,max_iter
mushroom,LM_base,229,0.9522,0.6445,0.6525,528.9899,0.0,True,False,132,0.102678,5.04,stagnation
mushroom,LM_base,246,0.8869,0.8869,0.9286,517.6735,0.0,True,False,70,0.074607,4.63,stagnation
mushroom,LM_base,263,0.0,0.0,0.6602,479.9992,0.0,True,False,150,0.341577,0.64,max_iter
mushroom,LM_base,280,0.0,0.5073,0.3398,469.0449,0.0,True,False,150,0.341577,0.7,max_iter
mushroom,LM_base,297,0.0,0.0,0.6602,462.0602,0.0,True,False,150,0.341577,0.66,max_iter
mushroom,LM_base,314,0.4698,0.5073,0.3398,410.2838,0.0,True,False,107,0.312589,3.4,stagnation
mushroom,LM_base,331,0.0,0.0,0.6602,488.0062,0.0,True,False,150,0.341577,0.52,max_iter
mushroom,LM_base,348,0.8073,0.7312,0.8289,544.8281,0.0,True,False,72,0.123437,2.02,stagnation
mushroom,LM_base,365,0.0,0.0,0.6602,429.673,0.0,True,False,150,0.341577,0.67,max_iter
mushroom,LM_base,382,0.9757,0.9026,0.9384,384.5506,0.0,True,False,150,0.014368,4.93,max_iter
