dataset,variant,rep,fold,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason,seed
musk,LM_base,0,0,0.0,0.0,0.846,519.3495,0.0,True,False,50,0.154289,0.86,max_iter,0
musk,LM_base,0,1,0.1076,0.1041,0.8321,667.8134,0.0,True,False,50,0.141627,3.83,max_iter,1
musk,LM_base,1,0,0.0,0.2669,0.154,676.455,0.0,True,False,50,0.154289,2.32,max_iter,100
musk,LM_base,1,1,0.0,0.0,0.8457,743.9906,0.0,True,False,50,0.148729,4.85,max_iter,101
musk,LM_base,2,0,0.0,0.0,0.846,1164.8368,0.0,True,False,50,0.154289,1.77,max_iter,200
musk,LM_base,2,1,0.0,0.0,0.8457,651.2865,0.0,True,False,50,0.153986,1.05,max_iter,201
musk,LM_base,3,0,0.0,0.0,0.846,628.7297,0.0,True,False,50,0.154158,1.0,max_iter,300
musk,LM_base,3,1,0.0,0.0,0.8457,770.1136,0.0,True,False,50,0.153986,1.17,max_iter,301
musk,LM_base,4,0,0.0,0.0,0.846,712.6953,0.0,True,False,50,0.154289,0.9,max_iter,400
musk,LM_base,4,1,0.0,0.0,0.8457,739.5695,0.0,True,False,50,0.153986,11.97,max_iter,401
musk,LM_delayed,0,0,0.0,0.0,0.846,678.8447,0.0,True,False,50,0.154289,1.09,max_iter,0
musk,LM_delayed,0,1,0.4555,0.4251,0.7514,644.871,0.0,True,False,50,0.123263,1.87,max_iter,1
musk,LM_delayed,1,0,0.0,0.0,0.846,532.3165,0.0,True,False,50,0.154289,1.88,max_iter,100
musk,LM_delayed,1,1,0.0,0.0,0.8457,787.8943,0.0,True,False,50,0.136308,1.77,max_iter,101
musk,LM_delayed,2,0,0.0,0.2659,0.7096,799.5381,0.0,True,False,50,0.146512,13.24,max_iter,200
musk,LM_delayed,2,1,0.3488,0.3488,0.8251,443.217,0.0,True,False,50,0.147516,5.08,max_iter,201
musk,LM_delayed,3,0,0.0,0.0,0.846,712.1365,0.0,True,False,50,0.130803,6.74,max_iter,300
musk,LM_delayed,3,1,0.0,0.0,0.8457,699.5938,0.0,True,False,50,0.157776,0.7,max_iter,301
musk,LM_delayed,4,0,0.0,0.0,0.846,675.6933,0.0,True,False,50,0.130599,10.11,max_iter,400
musk,LM_delayed,4,1,0.2673,0.0,0.8457,129.929,0.0,True,False,50,0.652957,5.27,max_iter,401
musk,LM_progressive,0,0,0.0,0.0,0.846,519.3495,0.0,True,False,50,0.154289,0.73,max_iter,0
musk,LM_progressive,0,1,0.1522,0.2208,0.8481,3.0001,0.0,True,False,50,0.142282,2.72,max_iter,1
musk,LM_progressive,1,0,0.0,0.2669,0.154,676.455,0.0,True,False,50,0.154289,2.35,max_iter,100
musk,LM_progressive,1,1,0.0,0.0,0.8457,352.0012,0.0,True,False,50,0.136958,3.43,max_iter,101
musk,LM_progressive,2,0,0.0,0.0,0.846,1162.3143,0.0,True,False,50,0.154289,1.71,max_iter,200
musk,LM_progressive,2,1,0.0,0.0,0.8457,651.2865,0.0,True,False,50,0.153986,0.57,max_iter,201
musk,LM_progressive,3,0,0.0,0.0,0.846,628.7297,0.0,True,False,50,0.154158,1.49,max_iter,300
musk,LM_progressive,3,1,0.0,0.0,0.8457,770.1136,0.0,True,False,50,0.153986,1.33,max_iter,301
musk,LM_progressive,4,0,0.0,0.0,0.846,712.6953,0.0,True,False,50,0.154289,0.76,max_iter,400
musk,LM_progressive,4,1,0.2673,0.0,0.8457,578.7424,0.0,True,False,50,0.846014,8.37,max_iter,401
musk,LM_dual,0,0,0.0,0.0,0.846,519.3495,0.0,True,False,50,0.154289,0.55,max_iter,0
musk,LM_dual,0,1,0.1076,0.1041,0.8321,667.8134,0.0,True,False,50,0.141627,3.15,max_iter,1
musk,LM_dual,1,0,0.0,0.2669,0.154,676.455,0.0,True,False,50,0.154289,1.76,max_iter,100
musk,LM_dual,1,1,0.0,0.0,0.8457,743.9906,0.0,True,False,50,0.148729,3.56,max_iter,101
musk,LM_dual,2,0,0.0,0.0,0.846,1164.8368,0.0,True,False,50,0.154289,1.25,max_iter,200
musk,LM_dual,2,1,0.0,0.0,0.8457,651.2865,0.0,True,False,50,0.153986,0.36,max_iter,201
musk,LM_dual,3,0,0.0,0.0,0.846,628.7297,0.0,True,False,50,0.154158,0.59,max_iter,300
musk,LM_dual,3,1,0.0,0.0,0.8457,770.1136,0.0,True,False,50,0.153986,0.71,max_iter,301
musk,LM_dual,4,0,0.0,0.0,0.846,712.6953,0.0,True,False,50,0.154289,0.55,max_iter,400
musk,LM_dual,4,1,0.0,0.0,0.8457,739.5695,0.0,True,False,50,0.153986,9.54,max_iter,401
musk,LM_hybrid,0,0,0.0,0.0,0.846,700.1348,0.0,True,False,250,0.130484,1.84,hardening_done,0
musk,LM_hybrid,0,1,0.0,0.0,0.8457,770.3694,0.0,True,False,250,0.120979,0.93,hardening_done,1
musk,LM_hybrid,1,0,0.0,0.0,0.846,739.9808,0.0,True,False,250,0.130484,1.89,hardening_done,100
musk,LM_hybrid,1,1,0.0,0.0,0.8457,755.818,0.0,True,False,250,0.130274,0.91,hardening_done,101
musk,LM_hybrid,2,0,0.0,0.0,0.846,775.145,0.0,True,False,250,0.130476,0.96,hardening_done,200
musk,LM_hybrid,2,1,0.0,0.0,0.8457,622.9836,0.0,True,False,246,0.111006,0.88,hardening_done,201
musk,LM_hybrid,3,0,0.0,0.0,0.846,707.5754,0.0,True,False,250,0.114622,1.05,hardening_done,300
musk,LM_hybrid,3,1,0.0,0.0,0.8457,441.024,0.0,True,False,250,0.153986,0.95,hardening_done,301
musk,LM_hybrid,4,0,0.0,0.0,0.846,661.1315,0.0,True,False,250,0.154289,0.97,hardening_done,400
musk,LM_hybrid,4,1,0.0,0.0,0.8457,633.5851,0.0,True,False,250,0.130274,6.38,hardening_done,401
