dataset,variant,rep,fold,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason,seed
spambase,LM_base,0,0,0.7994,0.364,0.5432,374.2089,0.0,True,False,80,0.137692,2.63,max_iter,0
spambase,LM_base,0,1,0.8717,0.6997,0.5348,355.4632,0.0,True,False,80,0.088903,5.11,max_iter,1
spambase,LM_base,1,0,0.8925,0.7151,0.5889,439.5676,0.0,True,False,80,0.073691,6.7,max_iter,100
spambase,LM_base,1,1,0.8463,0.3702,0.6391,458.2099,0.0,True,False,80,0.080939,4.41,max_iter,101
spambase,LM_base,2,0,0.8057,0.1144,0.601,450.908,0.0,True,False,80,0.118651,2.96,max_iter,200
spambase,LM_base,2,1,0.0,0.0,0.6061,299.904,0.0,True,False,80,0.394176,1.36,max_iter,201
spambase,LM_base,3,0,0.8605,0.502,0.5784,408.0001,0.0,True,False,80,0.072893,6.34,max_iter,300
spambase,LM_base,3,1,0.606,0.5987,0.3174,290.6467,0.0,True,False,72,0.227191,1.71,stagnation,301
spambase,LM_base,4,0,0.5655,0.5655,0.3942,472.5439,0.0,True,False,80,0.606087,0.66,max_iter,400
spambase,LM_base,4,1,0.82,0.0,0.6061,370.1201,0.0,True,False,80,0.110821,3.09,max_iter,401
spambase,LM_delayed,0,0,0.6488,0.0,0.6058,434.4019,0.0,True,False,73,0.192481,1.69,stagnation,0
spambase,LM_delayed,0,1,0.5792,0.567,0.3978,243.4785,0.0,True,False,73,0.560743,1.92,stagnation,1
spambase,LM_delayed,1,0,0.8082,0.5693,0.5745,391.767,0.0,True,False,74,0.115945,2.79,stagnation,100
spambase,LM_delayed,1,1,0.0,0.0,0.6061,356.0162,0.0,True,False,74,0.337439,2.32,stagnation,101
spambase,LM_delayed,2,0,0.0,0.0,0.6058,445.3216,0.0,True,False,80,0.393913,0.74,max_iter,200
spambase,LM_delayed,2,1,0.8072,0.028,0.6035,305.5552,0.0,True,False,73,0.131414,1.64,stagnation,201
spambase,LM_delayed,3,0,0.0,0.0,0.6058,450.1807,0.0,True,False,80,0.393913,0.76,max_iter,300
spambase,LM_delayed,3,1,0.0,0.0,0.6061,470.4086,0.0,True,False,80,0.394176,1.18,max_iter,301
spambase,LM_delayed,4,0,0.8539,0.7148,0.7479,437.1415,0.0,True,False,71,0.079699,1.9,stagnation,400
spambase,LM_delayed,4,1,0.5652,0.5652,0.3939,402.194,0.0,True,False,80,0.605824,1.03,max_iter,401
spambase,LM_progressive,0,0,0.5657,0.5655,0.3942,62.6399,0.0,True,False,72,0.436493,2.16,stagnation,0
spambase,LM_progressive,0,1,0.0,0.0,0.6061,14.1561,0.0,True,False,80,0.394176,3.55,max_iter,1
spambase,LM_progressive,1,0,0.8702,0.7896,0.5476,13.1542,0.0,True,False,80,0.078792,3.8,max_iter,100
spambase,LM_progressive,1,1,0.0,0.0,0.6061,69.6646,0.0,True,False,80,0.394176,2.89,max_iter,101
spambase,LM_progressive,2,0,0.5655,0.5655,0.3942,440.1023,0.0,True,False,80,0.606087,2.52,max_iter,200
spambase,LM_progressive,2,1,0.0,0.0,0.6061,299.904,0.0,True,False,80,0.394176,1.34,max_iter,201
spambase,LM_progressive,3,0,0.4243,0.2013,0.5763,31.2235,0.0,True,False,80,0.209983,4.11,max_iter,300
spambase,LM_progressive,3,1,0.0,0.0,0.6061,4.1851,0.0,True,False,72,0.390291,1.95,stagnation,301
spambase,LM_progressive,4,0,0.5655,0.5655,0.3942,472.5439,0.0,True,False,80,0.606087,0.68,max_iter,400
spambase,LM_progressive,4,1,0.1645,0.0801,0.5943,69.9342,0.0,True,False,80,0.290531,3.02,max_iter,401
spambase,LM_dual,0,0,0.7994,0.364,0.5432,374.2089,0.0,True,False,80,0.137692,2.56,max_iter,0
spambase,LM_dual,0,1,0.8717,0.6997,0.5348,355.4632,0.0,True,False,80,0.088903,4.83,max_iter,1
spambase,LM_dual,1,0,0.8925,0.7151,0.5889,439.5676,0.0,True,False,80,0.073691,6.56,max_iter,100
spambase,LM_dual,1,1,0.8463,0.3702,0.6391,458.2099,0.0,True,False,80,0.080939,4.32,max_iter,101
spambase,LM_dual,2,0,0.8057,0.1144,0.601,450.908,0.0,True,False,80,0.118651,3.6,max_iter,200
spambase,LM_dual,2,1,0.0,0.0,0.6061,299.904,0.0,True,False,80,0.394176,1.18,max_iter,201
spambase,LM_dual,3,0,0.8605,0.502,0.5784,408.0001,0.0,True,False,80,0.072893,5.99,max_iter,300
spambase,LM_dual,3,1,0.606,0.5987,0.3174,290.6467,0.0,True,False,72,0.227191,1.63,stagnation,301
spambase,LM_dual,4,0,0.5655,0.5655,0.3942,472.5439,0.0,True,False,80,0.606087,0.71,max_iter,400
spambase,LM_dual,4,1,0.82,0.0,0.6061,370.1201,0.0,True,False,80,0.110821,2.7,max_iter,401
spambase,LM_hybrid,0,0,0.7757,0.7733,0.4976,386.8487,0.0,True,False,278,0.124387,2.58,hardening_done,0
spambase,LM_hybrid,0,1,0.8157,0.5484,0.5839,404.5994,0.0,True,False,278,0.109176,1.8,hardening_done,1
spambase,LM_hybrid,1,0,0.8261,0.5943,0.5576,346.5688,0.0,True,False,278,0.110621,2.04,hardening_done,100
spambase,LM_hybrid,1,1,0.8254,0.1198,0.6113,382.4443,0.0,True,False,278,0.094046,1.48,hardening_done,101
spambase,LM_hybrid,2,0,0.0689,0.0,0.6058,329.3497,0.0,True,False,78,0.21648,1.33,max_iter,200
spambase,LM_hybrid,2,1,0.7448,0.4882,0.5083,377.2641,0.0,True,False,278,0.140886,1.59,hardening_done,201
spambase,LM_hybrid,3,0,0.7995,0.6967,0.5215,430.8192,0.0,True,False,278,0.109024,1.77,hardening_done,300
spambase,LM_hybrid,3,1,0.804,0.0,0.5952,301.4656,0.0,True,False,278,0.121767,1.67,hardening_done,301
spambase,LM_hybrid,4,0,0.5655,0.5655,0.3942,441.7451,0.0,True,False,276,0.606087,1.49,hardening_done,400
spambase,LM_hybrid,4,1,0.8232,0.7608,0.523,390.1098,0.0,True,False,278,0.104639,2.08,hardening_done,401
