dataset,variant,seed,f1,acc,dn_post,converged,iterations,final_mse,time_s,reason
monk,Proximal,42,0.0,0.5,0.0,False,295,0.459677,0.65,stagnation
monk,Proximal,59,0.0,0.5,0.0,False,334,0.459677,0.67,stagnation
monk,Proximal,76,0.0,0.5,0.0,False,270,0.459677,0.61,stagnation
monk,Proximal,93,0.0,0.5,0.0,False,289,0.459677,0.64,stagnation
monk,Proximal,110,0.0,0.5,0.0,False,272,0.459677,0.61,stagnation
monk,Proximal,127,0.0,0.5,0.0,False,352,0.459677,0.71,stagnation
monk,Proximal,144,0.0,0.5,0.0,False,267,0.459677,0.63,stagnation
monk,Proximal,161,0.0,0.5,0.0,False,257,0.459677,0.61,stagnation
monk,Proximal,178,0.0,0.5,0.0,False,292,0.459677,0.65,stagnation
monk,Proximal,195,0.0,0.5,0.0,False,272,0.459677,0.62,stagnation
monk,Proximal,212,0.0,0.5,0.0,False,291,0.459677,0.65,stagnation
monk,Proximal,229,0.0,0.5,0.0,False,298,0.459677,0.62,stagnation
monk,Proximal,246,0.0,0.5,0.0,False,300,0.459677,0.62,stagnation
monk,Proximal,263,0.0,0.5,0.0,False,355,0.459677,0.68,stagnation
monk,Proximal,280,0.0,0.5,0.0,False,289,0.459677,0.62,stagnation
monk,Proximal,297,0.0,0.5,0.0,False,327,0.459677,0.65,stagnation
monk,Proximal,314,0.0,0.5,0.0,False,353,0.459677,0.69,stagnation
monk,Proximal,331,0.0,0.5,0.0,False,266,0.459677,0.6,stagnation
monk,Proximal,348,0.0,0.5,0.0,False,354,0.459677,0.69,stagnation
monk,Proximal,365,0.0,0.5,0.0,False,357,0.459677,0.69,stagnation
monk,Proximal,382,0.0,0.5,0.0,False,287,0.459677,0.62,stagnation
monk,Proximal,399,0.0,0.5,0.0,False,267,0.459677,0.61,stagnation
monk,Proximal,416,0.0,0.5,0.0,False,323,0.459677,0.65,stagnation
monk,Proximal,433,0.0,0.5,0.0,False,268,0.459677,0.6,stagnation
monk,Proximal,450,0.0,0.5,0.0,False,331,0.459677,0.66,stagnation
monk,Proximal,467,0.0,0.5,0.0,False,292,0.459677,0.67,stagnation
monk,Proximal,484,0.0,0.5,0.0,False,302,0.459677,0.63,stagnation
monk,Proximal,501,0.0,0.5,0.0,False,274,0.459677,0.6,stagnation
monk,Proximal,518,0.0,0.5,0.0,False,350,0.459677,0.68,stagnation
monk,Proximal,535,0.0,0.5,0.0,False,272,0.459677,0.6,stagnation
monk,ProximalTopK,42,0.0,0.5,0.0,False,318,0.459677,0.69,stagnation
monk,ProximalTopK,59,0.0,0.5,0.0,False,365,0.459677,0.74,stagnation
