dataset,variant,seed,f1,acc,dn_post,converged,iterations,final_mse,time_s,reason
mushroom,Proximal,42,0.0,0.6602,0.0,False,185,0.341577,5.77,stagnation
mushroom,Proximal,59,0.0,0.6602,0.0,False,185,0.341577,5.72,stagnation
mushroom,Proximal,76,0.0,0.6602,0.0,False,154,0.341577,5.57,stagnation
mushroom,Proximal,93,0.5073,0.3398,0.0,False,185,0.658423,5.6,stagnation
mushroom,Proximal,110,0.0,0.6602,0.0,False,186,0.341577,5.63,stagnation
mushroom,Proximal,127,0.0,0.6602,0.0,False,185,0.341577,5.97,stagnation
mushroom,Proximal,144,0.0,0.6602,0.0,False,186,0.341577,5.6,stagnation
mushroom,Proximal,161,0.0,0.6602,0.0,False,168,0.341577,5.8,stagnation
mushroom,Proximal,178,0.0,0.6602,0.0,False,187,0.341577,5.95,stagnation
mushroom,Proximal,195,0.0,0.6602,0.0,False,170,0.341577,5.44,stagnation
mushroom,Proximal,212,0.0,0.6602,0.0,False,185,0.341577,6.04,stagnation
mushroom,Proximal,229,0.0,0.6602,0.0,False,185,0.341577,5.99,stagnation
mushroom,Proximal,246,0.0,0.6602,0.0,False,177,0.341577,5.85,stagnation
mushroom,Proximal,263,0.0,0.6602,0.0,False,187,0.341577,5.72,stagnation
mushroom,Proximal,280,0.0,0.6602,0.0,False,181,0.341577,5.61,stagnation
mushroom,Proximal,297,0.0,0.6602,0.0,False,147,0.341577,5.43,stagnation
mushroom,Proximal,314,0.0,0.6602,0.0,False,185,0.341577,6.2,stagnation
mushroom,Proximal,331,0.0,0.6602,0.0,False,185,0.341577,5.8,stagnation
mushroom,Proximal,348,0.0,0.6602,0.0,False,187,0.341577,5.68,stagnation
mushroom,Proximal,365,0.0,0.6602,0.0,False,185,0.341577,6.1,stagnation
mushroom,Proximal,382,0.0,0.6602,0.0,False,187,0.341577,5.67,stagnation
mushroom,Proximal,399,0.0,0.6602,0.0,False,186,0.341577,6.03,stagnation
mushroom,Proximal,416,0.5073,0.3398,0.0,False,186,0.658423,5.67,stagnation
mushroom,Proximal,433,0.0,0.6602,0.0,False,147,0.341577,5.11,stagnation
mushroom,Proximal,450,0.0,0.6602,0.0,False,168,0.341577,5.46,stagnation
mushroom,Proximal,467,0.0,0.6602,0.0,False,185,0.341577,5.54,stagnation
mushroom,Proximal,484,0.0,0.6602,0.0,False,186,0.341577,5.65,stagnation
mushroom,Proximal,501,0.5073,0.3398,0.0,False,185,0.658423,5.93,stagnation
mushroom,Proximal,518,0.0,0.6602,0.0,False,184,0.341577,5.75,stagnation
mushroom,Proximal,535,0.0,0.6602,0.0,False,187,0.341577,6.05,stagnation
mushroom,ProximalTopK,42,0.5073,0.3398,0.0,False,243,0.658423,3.55,stagnation
mushroom,ProximalTopK,59,0.5073,0.3398,0.0,False,238,0.658423,3.39,stagnation
mushroom,ProximalTopK,76,0.0,0.6602,0.0,False,214,0.341577,3.3,stagnation
mushroom,ProximalTopK,93,0.5073,0.3398,0.0,False,238,0.658423,3.67,stagnation
mushroom,ProximalTopK,110,0.5073,0.3398,0.0,False,238,0.658423,3.54,stagnation
mushroom,ProximalTopK,127,0.5073,0.3398,0.0,False,238,0.658423,3.65,stagnation
mushroom,ProximalTopK,144,0.5073,0.3398,0.0,False,243,0.658423,3.72,stagnation
mushroom,ProximalTopK,161,0.0,0.6602,0.0,False,221,0.341577,3.32,stagnation
mushroom,ProximalTopK,178,0.5073,0.3398,0.0,False,238,0.658423,3.62,stagnation
mushroom,ProximalTopK,195,0.0,0.6602,0.0,False,227,0.341577,3.48,stagnation
mushroom,ProximalTopK,212,0.0,0.6602,0.0,False,238,0.341577,3.91,stagnation
mushroom,ProximalTopK,229,0.0,0.6602,0.0,False,239,0.341577,3.62,stagnation
mushroom,ProximalTopK,246,0.0,0.6602,0.0,False,230,0.341577,3.5,stagnation
mushroom,ProximalTopK,263,0.5073,0.3398,0.0,False,239,0.658423,3.87,stagnation
mushroom,ProximalTopK,280,0.0,0.6602,0.0,False,235,0.341577,3.47,stagnation
mushroom,ProximalTopK,297,0.0,0.6602,0.0,False,262,0.341577,4.2,stagnation
mushroom,ProximalTopK,314,0.5073,0.3398,0.0,False,238,0.658423,3.64,stagnation
mushroom,ProximalTopK,331,0.5073,0.3398,0.0,False,234,0.658423,3.56,stagnation
mushroom,ProximalTopK,348,0.5073,0.3398,0.0,False,238,0.658423,3.7,stagnation
mushroom,ProximalTopK,365,0.5073,0.3398,0.0,False,238,0.658423,3.77,stagnation
mushroom,ProximalTopK,382,0.5073,0.3398,0.0,False,237,0.658423,3.69,stagnation
mushroom,ProximalTopK,399,0.5073,0.3398,0.0,False,254,0.658423,3.94,stagnation
mushroom,ProximalTopK,416,0.5073,0.3398,0.0,False,238,0.658423,3.51,stagnation
mushroom,ProximalTopK,433,0.0,0.6602,0.0,False,226,0.341577,3.57,stagnation
mushroom,ProximalTopK,450,0.0,0.6602,0.0,False,217,0.341577,3.36,stagnation
mushroom,ProximalTopK,467,0.5073,0.3398,0.0,False,238,0.658423,3.54,stagnation
mushroom,ProximalTopK,484,0.5073,0.3398,0.0,False,238,0.658423,3.66,stagnation
mushroom,ProximalTopK,501,0.5073,0.3398,0.0,False,238,0.658423,3.81,stagnation
mushroom,ProximalTopK,518,0.5073,0.3398,0.0,False,238,0.658423,3.62,stagnation
mushroom,ProximalTopK,535,0.5073,0.3398,0.0,False,257,0.658423,4.03,stagnation
mushroom,ProximalGroupLasso,42,0.0,0.6602,0.0,False,160,0.341577,2.66,stagnation
mushroom,ProximalGroupLasso,59,0.0,0.6602,0.0,False,160,0.341577,2.58,stagnation
mushroom,ProximalGroupLasso,76,0.0,0.6602,0.0,False,160,0.341577,2.52,stagnation
mushroom,ProximalGroupLasso,93,0.0,0.6602,0.0,False,160,0.341577,2.48,stagnation
mushroom,ProximalGroupLasso,110,0.0,0.6602,0.0,False,161,0.341577,2.62,stagnation
mushroom,ProximalGroupLasso,127,0.0,0.6602,0.0,False,160,0.341577,2.55,stagnation
mushroom,ProximalGroupLasso,144,0.0,0.6602,0.0,False,155,0.341577,2.56,stagnation
mushroom,ProximalGroupLasso,161,0.0,0.6602,0.0,False,160,0.341577,2.61,stagnation
mushroom,ProximalGroupLasso,178,0.0,0.6602,0.0,False,155,0.341577,2.55,stagnation
mushroom,ProximalGroupLasso,195,0.0,0.6602,0.0,False,160,0.341577,2.49,stagnation
mushroom,ProximalGroupLasso,212,0.0,0.6602,0.0,False,160,0.341577,2.54,stagnation
mushroom,ProximalGroupLasso,229,0.0,0.6602,0.0,False,160,0.341577,2.47,stagnation
mushroom,ProximalGroupLasso,246,0.0,0.6602,0.0,False,160,0.341577,2.64,stagnation
mushroom,ProximalGroupLasso,263,0.0,0.6602,0.0,False,160,0.341577,2.62,stagnation
mushroom,ProximalGroupLasso,280,0.0,0.6602,0.0,False,160,0.341577,2.52,stagnation
mushroom,ProximalGroupLasso,297,0.0,0.6602,0.0,False,160,0.341577,2.59,stagnation
mushroom,ProximalGroupLasso,314,0.0,0.6602,0.0,False,160,0.341577,2.51,stagnation
mushroom,ProximalGroupLasso,331,0.0,0.6602,0.0,False,160,0.341577,2.53,stagnation
mushroom,ProximalGroupLasso,348,0.0,0.6602,0.0,False,160,0.341577,2.48,stagnation
mushroom,ProximalGroupLasso,365,0.0,0.6602,0.0,False,160,0.341577,2.55,stagnation
mushroom,ProximalGroupLasso,382,0.0,0.6602,0.0,False,156,0.341577,2.41,stagnation
mushroom,ProximalGroupLasso,399,0.0,0.6602,0.0,False,154,0.341577,2.41,stagnation
mushroom,ProximalGroupLasso,416,0.0,0.6602,0.0,False,155,0.341577,2.42,stagnation
mushroom,ProximalGroupLasso,433,0.0,0.6602,0.0,False,160,0.341577,2.59,stagnation
mushroom,ProximalGroupLasso,450,0.0,0.6602,0.0,False,160,0.341577,2.65,stagnation
mushroom,ProximalGroupLasso,467,0.0,0.6602,0.0,False,193,0.341577,3.19,stagnation
mushroom,ProximalGroupLasso,484,0.0,0.6602,0.0,False,161,0.341577,2.56,stagnation
mushroom,ProximalGroupLasso,501,0.0,0.6602,0.0,False,160,0.341577,2.61,stagnation
mushroom,ProximalGroupLasso,518,0.0,0.6602,0.0,False,160,0.341577,2.49,stagnation
mushroom,ProximalGroupLasso,535,0.0,0.6602,0.0,False,160,0.341577,2.54,stagnation
mushroom,ProximalL0,42,0.0,0.6602,0.0,False,269,0.341577,7.89,stagnation
mushroom,ProximalL0,59,0.0,0.6602,0.0,False,295,0.341577,5.28,stagnation
mushroom,ProximalL0,76,0.0,0.6602,0.0,False,300,0.341577,5.12,stagnation
mushroom,ProximalL0,93,0.0,0.6602,0.0,False,263,0.341577,7.74,stagnation
mushroom,ProximalL0,110,0.0,0.6602,0.0,False,274,0.341577,7.98,stagnation
mushroom,ProximalL0,127,0.0,0.6602,0.0,False,300,0.341577,8.35,stagnation
mushroom,ProximalL0,144,0.0,0.6602,0.0,False,300,0.341577,5.23,stagnation
mushroom,ProximalL0,161,0.0,0.6602,0.0,False,300,0.341577,8.32,stagnation
mushroom,ProximalL0,178,0.0,0.6602,0.0,False,251,0.341577,7.37,stagnation
mushroom,ProximalL0,195,0.0,0.6602,0.0,False,278,0.341577,4.79,stagnation
mushroom,ProximalL0,212,0.0,0.6602,0.0,False,295,0.341577,4.99,stagnation
mushroom,ProximalL0,229,0.0,0.6602,0.0,False,298,0.341577,8.46,stagnation
mushroom,ProximalL0,246,0.0,0.6602,0.0,False,289,0.341577,8.18,stagnation
mushroom,ProximalL0,263,0.0,0.6602,0.0,False,300,0.341577,8.5,stagnation
mushroom,ProximalL0,280,0.0,0.6602,0.0,False,255,0.341577,8.15,stagnation
mushroom,ProximalL0,297,0.0,0.6602,0.0,False,231,0.341577,3.87,stagnation
