dataset,variant,seed,f1,acc,dn_post,converged,iterations,final_mse,time_s,reason
musk,Proximal,42,0.0,0.8506,0.0,False,230,0.155332,5.98,stagnation
musk,Proximal,59,0.0,0.8506,0.0,False,152,0.155332,2.06,stagnation
musk,Proximal,76,0.0,0.8506,0.0,False,233,0.155332,5.89,stagnation
musk,Proximal,93,0.0,0.8506,0.0,False,230,0.155332,6.5,stagnation
musk,Proximal,110,0.0,0.8506,0.0,False,234,0.155332,6.34,stagnation
musk,Proximal,127,0.0,0.8506,0.0,False,232,0.155332,6.3,stagnation
musk,Proximal,144,0.0,0.8506,0.0,False,152,0.155332,2.09,stagnation
musk,Proximal,161,0.0,0.8506,0.0,False,152,0.155332,2.12,stagnation
musk,Proximal,178,0.0,0.8506,0.0,False,233,0.155332,6.14,stagnation
musk,Proximal,195,0.0,0.8506,0.0,False,152,0.155332,2.07,stagnation
musk,Proximal,212,0.0,0.8506,0.0,False,152,0.155332,2.14,stagnation
musk,Proximal,229,0.0,0.8506,0.0,False,230,0.155332,6.11,stagnation
musk,Proximal,246,0.0,0.8506,0.0,False,155,0.155332,5.1,stagnation
musk,Proximal,263,0.0,0.8506,0.0,False,152,0.155332,2.12,stagnation
musk,Proximal,280,0.0,0.8506,0.0,False,152,0.155332,2.2,stagnation
musk,Proximal,297,0.0,0.8506,0.0,False,233,0.155332,6.28,stagnation
musk,Proximal,314,0.0,0.8506,0.0,False,152,0.155332,2.1,stagnation
musk,Proximal,331,0.0,0.8506,0.0,False,152,0.155332,2.17,stagnation
musk,Proximal,348,0.0,0.8506,0.0,False,152,0.155332,2.07,stagnation
musk,Proximal,365,0.0,0.8506,0.0,False,152,0.155332,2.19,stagnation
musk,Proximal,382,0.0,0.8506,0.0,False,152,0.155332,2.06,stagnation
musk,Proximal,399,0.0,0.8506,0.0,False,230,0.155332,6.22,stagnation
musk,Proximal,416,0.0,0.8506,0.0,False,152,0.155332,2.28,stagnation
musk,Proximal,433,0.0,0.8506,0.0,False,152,0.155332,2.13,stagnation
musk,Proximal,450,0.0,0.8506,0.0,False,230,0.155332,6.14,stagnation
musk,Proximal,467,0.0,0.8506,0.0,False,152,0.155332,2.15,stagnation
musk,Proximal,484,0.0,0.8506,0.0,False,230,0.155332,6.23,stagnation
musk,Proximal,501,0.0,0.8506,0.0,False,152,0.155332,2.09,stagnation
musk,Proximal,518,0.0,0.8506,0.0,False,152,0.155332,2.22,stagnation
musk,Proximal,535,0.0,0.8506,0.0,False,233,0.155332,6.42,stagnation
musk,ProximalTopK,42,0.0,0.8506,0.0,False,274,0.155332,6.9,stagnation
musk,ProximalTopK,59,0.0,0.8506,0.0,False,160,0.155332,5.31,stagnation
musk,ProximalTopK,76,0.0,0.8506,0.0,False,280,0.155332,6.99,stagnation
musk,ProximalTopK,93,0.0,0.8506,0.0,False,239,0.155332,6.37,stagnation
musk,ProximalTopK,110,0.0,0.8506,0.0,False,237,0.155332,6.24,stagnation
musk,ProximalTopK,127,0.0,0.8506,0.0,False,238,0.155332,6.56,stagnation
musk,ProximalTopK,144,0.0,0.8506,0.0,False,160,0.155332,5.26,stagnation
musk,ProximalTopK,161,0.0,0.8506,0.0,False,160,0.155332,5.33,stagnation
musk,ProximalTopK,178,0.0,0.8506,0.0,False,239,0.155332,6.32,stagnation
musk,ProximalTopK,195,0.0,0.8506,0.0,False,160,0.155332,5.36,stagnation
musk,ProximalTopK,212,0.0,0.8506,0.0,False,160,0.155332,5.29,stagnation
musk,ProximalTopK,229,0.0,0.8506,0.0,False,238,0.155332,6.37,stagnation
musk,ProximalTopK,246,0.0,0.8506,0.0,False,180,0.155332,5.57,stagnation
musk,ProximalTopK,263,0.0,0.8506,0.0,False,160,0.155332,5.32,stagnation
musk,ProximalTopK,280,0.0,0.8506,0.0,False,160,0.155332,5.32,stagnation
musk,ProximalTopK,297,0.0,0.8506,0.0,False,238,0.155332,6.43,stagnation
musk,ProximalTopK,314,0.0,0.8506,0.0,False,160,0.155332,5.29,stagnation
musk,ProximalTopK,331,0.0,0.8506,0.0,False,160,0.155332,5.18,stagnation
musk,ProximalTopK,348,0.0,0.8506,0.0,False,160,0.155332,5.36,stagnation
musk,ProximalTopK,365,0.0,0.8506,0.0,False,160,0.155332,5.27,stagnation
musk,ProximalTopK,382,0.0,0.8506,0.0,False,160,0.155332,5.39,stagnation
musk,ProximalTopK,399,0.0,0.8506,0.0,False,239,0.155332,6.39,stagnation
musk,ProximalTopK,416,0.0,0.8506,0.0,False,160,0.155332,5.27,stagnation
musk,ProximalTopK,433,0.0,0.8506,0.0,False,160,0.155332,5.19,stagnation
musk,ProximalTopK,450,0.0,0.8506,0.0,False,238,0.155332,6.46,stagnation
musk,ProximalTopK,467,0.0,0.8506,0.0,False,160,0.155332,5.59,stagnation
musk,ProximalTopK,484,0.0,0.8506,0.0,False,239,0.155332,6.49,stagnation
musk,ProximalTopK,501,0.0,0.8506,0.0,False,160,0.155332,5.57,stagnation
musk,ProximalTopK,518,0.0,0.8506,0.0,False,178,0.155332,5.6,stagnation
musk,ProximalTopK,535,0.0,0.8506,0.0,False,237,0.155332,6.25,stagnation
musk,ProximalGroupLasso,42,0.0,0.8506,0.0,False,183,0.155332,5.94,stagnation
musk,ProximalGroupLasso,59,0.0,0.8506,0.0,False,163,0.155332,5.35,stagnation
musk,ProximalGroupLasso,76,0.0,0.8506,0.0,False,158,0.155332,5.48,stagnation
musk,ProximalGroupLasso,93,0.0,0.8506,0.0,False,158,0.155332,5.29,stagnation
musk,ProximalGroupLasso,110,0.0,0.8506,0.0,False,158,0.155332,5.36,stagnation
musk,ProximalGroupLasso,127,0.0,0.8506,0.0,False,158,0.155332,5.24,stagnation
musk,ProximalGroupLasso,144,0.0,0.8506,0.0,False,158,0.155332,5.53,stagnation
musk,ProximalGroupLasso,161,0.0,0.8506,0.0,False,158,0.155332,5.52,stagnation
musk,ProximalGroupLasso,178,0.0,0.8506,0.0,False,155,0.155332,5.42,stagnation
musk,ProximalGroupLasso,195,0.0,0.8506,0.0,False,158,0.155332,5.39,stagnation
musk,ProximalGroupLasso,212,0.0,0.8506,0.0,False,176,0.155332,5.74,stagnation
musk,ProximalGroupLasso,229,0.0,0.8506,0.0,False,194,0.155332,5.91,stagnation
musk,ProximalGroupLasso,246,0.0,0.8506,0.0,False,158,0.155332,5.33,stagnation
musk,ProximalGroupLasso,263,0.0,0.8506,0.0,False,198,0.155332,6.08,stagnation
musk,ProximalGroupLasso,280,0.0,0.8506,0.0,False,158,0.155332,5.31,stagnation
musk,ProximalGroupLasso,297,0.0,0.8506,0.0,False,158,0.155332,5.37,stagnation
musk,ProximalGroupLasso,314,0.0,0.8506,0.0,False,158,0.155332,5.27,stagnation
musk,ProximalGroupLasso,331,0.0,0.8506,0.0,False,171,0.155332,5.76,stagnation
musk,ProximalGroupLasso,348,0.0,0.8506,0.0,False,158,0.155332,5.34,stagnation
musk,ProximalGroupLasso,365,0.0,0.8506,0.0,False,152,0.155332,2.25,stagnation
musk,ProximalGroupLasso,382,0.0,0.8506,0.0,False,158,0.155332,5.36,stagnation
musk,ProximalGroupLasso,399,0.0,0.8506,0.0,False,155,0.155332,5.38,stagnation
musk,ProximalGroupLasso,416,0.0,0.8506,0.0,False,158,0.155332,5.39,stagnation
musk,ProximalGroupLasso,433,0.0,0.8506,0.0,False,158,0.155332,5.47,stagnation
musk,ProximalGroupLasso,450,0.0,0.8506,0.0,False,158,0.155332,5.38,stagnation
musk,ProximalGroupLasso,467,0.0,0.8506,0.0,False,158,0.155332,5.46,stagnation
musk,ProximalGroupLasso,484,0.0,0.8506,0.0,False,158,0.155332,5.31,stagnation
musk,ProximalGroupLasso,501,0.0,0.8506,0.0,False,158,0.155332,5.45,stagnation
musk,ProximalGroupLasso,518,0.0,0.8506,0.0,False,158,0.155332,5.4,stagnation
musk,ProximalGroupLasso,535,0.0,0.8506,0.0,False,158,0.155332,5.56,stagnation
musk,ProximalL0,42,0.0,0.8506,0.0,False,153,0.155332,2.5,stagnation
musk,ProximalL0,59,0.0,0.8506,0.0,False,153,0.155332,2.51,stagnation
musk,ProximalL0,76,0.0,0.8506,0.0,False,153,0.155332,2.45,stagnation
musk,ProximalL0,93,0.0,0.8506,0.0,False,153,0.155332,2.37,stagnation
musk,ProximalL0,110,0.0,0.8506,0.0,False,153,0.155332,2.48,stagnation
musk,ProximalL0,127,0.0,0.8506,0.0,False,153,0.155332,2.41,stagnation
musk,ProximalL0,144,0.0,0.8506,0.0,False,153,0.155332,2.52,stagnation
musk,ProximalL0,161,0.0,0.8506,0.0,False,153,0.155332,2.43,stagnation
musk,ProximalL0,178,0.0,0.8506,0.0,False,153,0.155332,2.53,stagnation
musk,ProximalL0,195,0.0,0.8506,0.0,False,153,0.155332,2.49,stagnation
musk,ProximalL0,212,0.0,0.8506,0.0,False,153,0.155332,2.5,stagnation
