dataset,variant,seed,f1,acc,dn_post,converged,iterations,final_mse,time_s,reason
spambase,Proximal,42,0.0,0.6239,0.0,False,231,0.398533,2.51,stagnation
spambase,Proximal,59,0.0,0.6239,0.0,False,232,0.398533,2.54,stagnation
spambase,Proximal,76,0.0,0.6239,0.0,False,230,0.398533,2.71,stagnation
spambase,Proximal,93,0.0,0.6239,0.0,False,232,0.398533,2.74,stagnation
spambase,Proximal,110,0.0,0.6239,0.0,False,233,0.398533,2.67,stagnation
spambase,Proximal,127,0.0,0.6239,0.0,False,231,0.398533,2.7,stagnation
spambase,Proximal,144,0.0,0.6239,0.0,False,232,0.398533,2.59,stagnation
spambase,Proximal,161,0.0,0.6239,0.0,False,232,0.398533,2.66,stagnation
spambase,Proximal,178,0.0,0.6239,0.0,False,232,0.398533,2.51,stagnation
spambase,Proximal,195,0.0,0.6239,0.0,False,233,0.398533,2.62,stagnation
spambase,Proximal,212,0.0,0.6239,0.0,False,231,0.398533,2.6,stagnation
spambase,Proximal,229,0.0,0.6239,0.0,False,231,0.398533,2.6,stagnation
spambase,Proximal,246,0.0,0.6239,0.0,False,232,0.398533,2.49,stagnation
spambase,Proximal,263,0.0,0.6239,0.0,False,232,0.398533,2.62,stagnation
spambase,Proximal,280,0.0,0.6239,0.0,False,233,0.398533,2.55,stagnation
spambase,Proximal,297,0.0,0.6239,0.0,False,233,0.398533,2.49,stagnation
spambase,Proximal,314,0.0,0.6239,0.0,False,233,0.398533,2.37,stagnation
spambase,Proximal,331,0.0,0.6239,0.0,False,233,0.398533,2.46,stagnation
spambase,Proximal,348,0.0,0.6239,0.0,False,233,0.398533,2.47,stagnation
spambase,Proximal,365,0.0,0.6239,0.0,False,232,0.398533,2.53,stagnation
spambase,Proximal,382,0.0,0.6239,0.0,False,230,0.398533,2.57,stagnation
spambase,Proximal,399,0.0,0.6239,0.0,False,233,0.398533,2.47,stagnation
spambase,Proximal,416,0.0,0.6239,0.0,False,233,0.398533,2.42,stagnation
spambase,Proximal,433,0.0,0.6239,0.0,False,232,0.398533,2.45,stagnation
spambase,Proximal,450,0.0,0.6239,0.0,False,231,0.398533,2.48,stagnation
spambase,Proximal,467,0.0,0.6239,0.0,False,233,0.398533,2.64,stagnation
spambase,Proximal,484,0.0,0.6239,0.0,False,233,0.398533,2.61,stagnation
spambase,Proximal,501,0.0,0.6239,0.0,False,233,0.398533,2.55,stagnation
spambase,Proximal,518,0.0,0.6239,0.0,False,232,0.398533,2.7,stagnation
spambase,Proximal,535,0.0,0.6239,0.0,False,232,0.398533,2.57,stagnation
spambase,ProximalTopK,42,0.5466,0.3761,0.0,False,247,0.601467,1.46,stagnation
spambase,ProximalTopK,59,0.5466,0.3761,0.0,False,235,0.601467,1.36,stagnation
spambase,ProximalTopK,76,0.5466,0.3761,0.0,False,242,0.601467,1.49,stagnation
spambase,ProximalTopK,93,0.5466,0.3761,0.0,False,239,0.601467,1.41,stagnation
spambase,ProximalTopK,110,0.5466,0.3761,0.0,False,246,0.601467,1.34,stagnation
spambase,ProximalTopK,127,0.5466,0.3761,0.0,False,246,0.601467,1.43,stagnation
spambase,ProximalTopK,144,0.5466,0.3761,0.0,False,247,0.601467,1.44,stagnation
spambase,ProximalTopK,161,0.0,0.6239,0.0,False,243,0.398533,1.47,stagnation
spambase,ProximalTopK,178,0.5466,0.3761,0.0,False,241,0.601467,1.41,stagnation
spambase,ProximalTopK,195,0.5466,0.3761,0.0,False,245,0.601467,1.49,stagnation
spambase,ProximalTopK,212,0.5466,0.3761,0.0,False,248,0.601467,1.43,stagnation
spambase,ProximalTopK,229,0.5466,0.3761,0.0,False,247,0.601467,1.36,stagnation
spambase,ProximalTopK,246,0.5466,0.3761,0.0,False,250,0.601467,1.41,stagnation
spambase,ProximalTopK,263,0.0,0.6239,0.0,False,236,0.398533,1.47,stagnation
spambase,ProximalTopK,280,0.5466,0.3761,0.0,False,248,0.601467,1.56,stagnation
spambase,ProximalTopK,297,0.5466,0.3761,0.0,False,250,0.601467,1.56,stagnation
spambase,ProximalTopK,314,0.5466,0.3761,0.0,False,243,0.601467,1.5,stagnation
spambase,ProximalTopK,331,0.5466,0.3761,0.0,False,243,0.601467,1.38,stagnation
spambase,ProximalTopK,348,0.5466,0.3761,0.0,False,248,0.601467,1.48,stagnation
spambase,ProximalTopK,365,0.0,0.6239,0.0,False,247,0.398533,1.41,stagnation
spambase,ProximalTopK,382,0.5466,0.3761,0.0,False,239,0.601467,1.34,stagnation
spambase,ProximalTopK,399,0.5466,0.3761,0.0,False,243,0.601467,1.52,stagnation
spambase,ProximalTopK,416,0.0,0.6239,0.0,False,244,0.398533,1.52,stagnation
spambase,ProximalTopK,433,0.0,0.6239,0.0,False,239,0.398533,1.49,stagnation
spambase,ProximalTopK,450,0.5466,0.3761,0.0,False,241,0.601467,1.42,stagnation
spambase,ProximalTopK,467,0.5466,0.3761,0.0,False,237,0.601467,1.31,stagnation
spambase,ProximalTopK,484,0.0,0.6239,0.0,False,248,0.398533,1.52,stagnation
spambase,ProximalTopK,501,0.5466,0.3761,0.0,False,244,0.601467,1.47,stagnation
spambase,ProximalTopK,518,0.5466,0.3761,0.0,False,251,0.601467,1.54,stagnation
spambase,ProximalTopK,535,0.0,0.6239,0.0,False,235,0.398533,1.45,stagnation
spambase,ProximalGroupLasso,42,0.0,0.6239,0.0,False,173,0.398533,1.14,stagnation
spambase,ProximalGroupLasso,59,0.0,0.6239,0.0,False,204,0.398533,1.41,stagnation
spambase,ProximalGroupLasso,76,0.0,0.6239,0.0,False,188,0.398533,1.2,stagnation
spambase,ProximalGroupLasso,93,0.0,0.6239,0.0,False,179,0.398533,1.16,stagnation
spambase,ProximalGroupLasso,110,0.0,0.6239,0.0,False,211,0.398533,1.34,stagnation
spambase,ProximalGroupLasso,127,0.0,0.6239,0.0,False,194,0.398533,1.27,stagnation
spambase,ProximalGroupLasso,144,0.0,0.6239,0.0,False,180,0.398533,1.21,stagnation
spambase,ProximalGroupLasso,161,0.0,0.6239,0.0,False,167,0.398533,1.07,stagnation
spambase,ProximalGroupLasso,178,0.0,0.6239,0.0,False,184,0.398533,1.2,stagnation
spambase,ProximalGroupLasso,195,0.0,0.6239,0.0,False,162,0.398533,1.05,stagnation
spambase,ProximalGroupLasso,212,0.0,0.6239,0.0,False,206,0.398533,1.42,stagnation
spambase,ProximalGroupLasso,229,0.0,0.6239,0.0,False,175,0.398533,1.11,stagnation
spambase,ProximalGroupLasso,246,0.0,0.6239,0.0,False,179,0.398533,1.24,stagnation
spambase,ProximalGroupLasso,263,0.0,0.6239,0.0,False,158,0.398533,1.05,stagnation
spambase,ProximalGroupLasso,280,0.0,0.6239,0.0,False,161,0.398533,1.06,stagnation
spambase,ProximalGroupLasso,297,0.0,0.6239,0.0,False,169,0.398533,1.07,stagnation
spambase,ProximalGroupLasso,314,0.0,0.6239,0.0,False,179,0.398533,1.14,stagnation
spambase,ProximalGroupLasso,331,0.0,0.6239,0.0,False,173,0.398533,1.16,stagnation
spambase,ProximalGroupLasso,348,0.0,0.6239,0.0,False,186,0.398533,1.2,stagnation
spambase,ProximalGroupLasso,365,0.0,0.6239,0.0,False,175,0.398533,1.1,stagnation
spambase,ProximalGroupLasso,382,0.0,0.6239,0.0,False,163,0.398533,0.99,stagnation
spambase,ProximalGroupLasso,399,0.0,0.6239,0.0,False,167,0.398533,0.88,stagnation
spambase,ProximalGroupLasso,416,0.0,0.6239,0.0,False,192,0.398533,0.86,stagnation
spambase,ProximalGroupLasso,433,0.0,0.6239,0.0,False,170,0.398533,0.78,stagnation
spambase,ProximalGroupLasso,450,0.0,0.6239,0.0,False,159,0.398533,0.77,stagnation
spambase,ProximalGroupLasso,467,0.0,0.6239,0.0,False,163,0.398533,0.74,stagnation
spambase,ProximalGroupLasso,484,0.0,0.6239,0.0,False,166,0.398533,0.73,stagnation
spambase,ProximalGroupLasso,501,0.0,0.6239,0.0,False,170,0.398533,0.74,stagnation
spambase,ProximalGroupLasso,518,0.0,0.6239,0.0,False,175,0.398533,0.82,stagnation
spambase,ProximalGroupLasso,535,0.0,0.6239,0.0,False,166,0.398533,0.75,stagnation
spambase,ProximalL0,42,0.0,0.6239,0.0,False,252,0.398533,2.19,stagnation
spambase,ProximalL0,59,0.0,0.6239,0.0,False,255,0.398533,2.41,stagnation
spambase,ProximalL0,76,0.0,0.6239,0.0,False,252,0.398533,2.35,stagnation
spambase,ProximalL0,93,0.0,0.6239,0.0,False,251,0.398533,2.21,stagnation
spambase,ProximalL0,110,0.0,0.6239,0.0,False,252,0.398533,2.02,stagnation
spambase,ProximalL0,127,0.0,0.6239,0.0,False,250,0.398533,2.14,stagnation
spambase,ProximalL0,144,0.0,0.6239,0.0,False,253,0.398533,2.53,stagnation
spambase,ProximalL0,161,0.0,0.6239,0.0,False,248,0.398533,2.13,stagnation
spambase,ProximalL0,178,0.0,0.6239,0.0,False,247,0.398533,2.36,stagnation
spambase,ProximalL0,195,0.0,0.6239,0.0,False,250,0.398533,2.27,stagnation
spambase,ProximalL0,212,0.0,0.6239,0.0,False,252,0.398533,2.05,stagnation
spambase,ProximalL0,229,0.0,0.6239,0.0,False,251,0.398533,2.26,stagnation
spambase,ProximalL0,246,0.0,0.6239,0.0,False,249,0.398533,2.23,stagnation
spambase,ProximalL0,263,0.0,0.6239,0.0,False,251,0.398533,2.3,stagnation
spambase,ProximalL0,280,0.0,0.6239,0.0,False,252,0.398533,2.19,stagnation
spambase,ProximalL0,297,0.0,0.6239,0.0,False,252,0.398533,2.42,stagnation
spambase,ProximalL0,314,0.0,0.6239,0.0,False,248,0.398533,2.2,stagnation
spambase,ProximalL0,331,0.0,0.6239,0.0,False,252,0.398533,2.35,stagnation
spambase,ProximalL0,348,0.0,0.6239,0.0,False,249,0.398533,2.4,stagnation
spambase,ProximalL0,365,0.0,0.6239,0.0,False,249,0.398533,2.3,stagnation
spambase,ProximalL0,382,0.0,0.6239,0.0,False,249,0.398533,2.3,stagnation
spambase,ProximalL0,399,0.0,0.6239,0.0,False,252,0.398533,2.39,stagnation
spambase,ProximalL0,416,0.0,0.6239,0.0,False,248,0.398533,2.3,stagnation
spambase,ProximalL0,433,0.0,0.6239,0.0,False,251,0.398533,2.4,stagnation
spambase,ProximalL0,450,0.0,0.6239,0.0,False,252,0.398533,2.33,stagnation
spambase,ProximalL0,467,0.0,0.6239,0.0,False,247,0.398533,2.22,stagnation
spambase,ProximalL0,484,0.0,0.6239,0.0,False,252,0.398533,3.18,stagnation
spambase,ProximalL0,501,0.0,0.6239,0.0,False,251,0.398533,2.3,stagnation
spambase,ProximalL0,518,0.0,0.6239,0.0,False,248,0.398533,2.39,stagnation
spambase,ProximalL0,535,0.0,0.6239,0.0,False,252,0.398533,2.33,stagnation
