dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
musk,STE_base,42,0.0,0.8506,0.0,0.4287,False,53,0.155332,50.98,stagnation
musk,STE_base,59,0.0,0.8506,0.0,0.4277,False,53,0.155332,62.67,stagnation
musk,STE_base,76,0.0,0.8506,0.0,0.4303,False,53,0.155332,66.48,stagnation
musk,STE_base,93,0.0,0.8506,0.0,0.4279,False,54,0.155332,65.16,stagnation
musk,STE_base,110,0.0,0.8506,0.0,0.4289,False,54,0.155332,65.39,stagnation
musk,STE_base,127,0.0101,0.8514,0.0,0.4294,False,55,0.154885,69.06,stagnation
musk,STE_base,144,0.0,0.8506,0.0,0.4247,False,51,0.155332,58.84,stagnation
musk,STE_base,161,0.0,0.8506,0.0,0.4279,False,53,0.155332,42.96,stagnation
musk,STE_base,178,0.0,0.8506,0.0,0.4287,False,52,0.155332,41.21,stagnation
musk,STE_base,195,0.0,0.8506,0.0,0.432,False,53,0.155332,49.08,stagnation
musk,STE_base,212,0.0,0.8506,0.0,0.4305,False,53,0.155332,54.31,stagnation
musk,STE_base,229,0.0,0.8506,0.0,0.4325,False,55,0.155332,47.18,stagnation
musk,STE_base,246,0.0,0.8506,0.0,0.4272,False,53,0.155332,49.85,stagnation
musk,STE_base,263,0.0,0.8506,0.0,0.4319,False,54,0.155332,53.16,stagnation
musk,STE_base,280,0.0,0.8506,0.0,0.4306,False,53,0.155332,50.67,stagnation
musk,STE_base,297,0.0,0.8506,0.0,0.4253,False,51,0.155332,49.97,stagnation
musk,STE_base,314,0.0,0.8506,0.0,0.4274,False,56,0.155332,55.63,stagnation
musk,STE_base,331,0.7045,0.9052,0.0,0.4276,False,200,0.069088,200.01,stagnation
musk,STE_base,348,0.0,0.8506,0.0,0.4298,False,54,0.155332,54.79,stagnation
musk,STE_base,365,0.0,0.8506,0.0,0.4274,False,54,0.155332,53.63,stagnation
musk,STE_base,382,0.0,0.8506,0.0,0.4273,False,52,0.155332,52.45,stagnation
musk,STE_base,399,0.0,0.8506,0.0,0.4263,False,53,0.155332,53.37,stagnation
musk,STE_base,416,0.0,0.8506,0.0,0.427,False,52,0.155332,53.51,stagnation
musk,STE_base,433,0.0,0.8506,0.0,0.4263,False,54,0.155332,55.37,stagnation
musk,STE_base,450,0.0,0.8506,0.0,0.4294,False,53,0.155332,57.8,stagnation
musk,STE_base,467,0.2602,0.1509,0.0,0.4278,False,51,0.84369,52.84,stagnation
musk,STE_base,484,0.2599,0.1494,0.0,0.4272,False,51,0.844668,51.69,stagnation
musk,STE_base,501,0.0,0.8506,0.0,0.4271,False,54,0.155332,55.5,stagnation
musk,STE_base,518,0.0,0.8506,0.0,0.429,False,52,0.155332,54.19,stagnation
musk,STE_base,535,0.0,0.8506,0.0,0.4296,False,56,0.155332,61.39,stagnation
musk,STE_reg,42,0.0,0.8506,0.0,0.4306,False,55,0.155332,59.16,stagnation
musk,STE_reg,59,0.0,0.8506,0.0,0.4279,False,53,0.155332,50.95,stagnation
musk,STE_reg,76,0.0,0.8506,0.0,0.4302,False,53,0.155332,41.85,stagnation
musk,STE_reg,93,0.0,0.8506,0.0,0.4288,False,54,0.155332,45.43,stagnation
musk,STE_reg,110,0.0,0.8506,0.0,0.4312,False,54,0.155332,39.15,stagnation
musk,STE_reg,127,0.0,0.8506,0.0,0.4315,False,57,0.155332,52.63,stagnation
musk,STE_reg,144,0.0,0.8506,0.0,0.4248,False,51,0.155332,40.54,stagnation
musk,STE_reg,161,0.0,0.8506,0.0,0.4284,False,53,0.155332,47.15,stagnation
musk,STE_reg,178,0.0,0.8506,0.0,0.4291,False,53,0.155332,50.47,stagnation
musk,STE_reg,195,0.0,0.8506,0.0,0.4313,False,53,0.155332,47.83,stagnation
musk,STE_reg,212,0.0,0.8506,0.0,0.4313,False,53,0.155332,49.7,stagnation
musk,STE_reg,229,0.0,0.8506,0.0,0.4341,False,55,0.155332,50.03,stagnation
