dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
mushroom,STE_base,42,0.047,0.6545,0.0,0.4332,False,54,0.338359,17.8,stagnation
mushroom,STE_base,59,0.0,0.6598,0.0,0.4276,False,56,0.341096,2.63,stagnation
mushroom,STE_base,76,0.076,0.6646,0.0,0.4315,False,57,0.33841,2.25,stagnation
mushroom,STE_base,93,0.0345,0.6598,0.0,0.4232,False,57,0.3377,13.93,stagnation
mushroom,STE_base,110,0.0,0.6594,0.0,0.425,False,56,0.340994,20.56,stagnation
mushroom,STE_base,127,0.8671,0.9161,0.0,0.4386,False,200,0.060131,50.82,stagnation
mushroom,STE_base,144,0.8657,0.9096,0.0,0.4371,False,200,0.06753,28.23,stagnation
mushroom,STE_base,161,0.0118,0.6614,0.0,0.4259,False,54,0.339803,8.84,stagnation
mushroom,STE_base,178,0.8524,0.9063,0.0,0.4359,False,200,0.075968,17.14,stagnation
mushroom,STE_base,195,0.0,0.6602,0.0,0.4351,False,57,0.341577,4.22,stagnation
mushroom,STE_base,212,0.0,0.6594,0.0,0.4293,False,54,0.341374,3.14,stagnation
mushroom,STE_base,229,0.0611,0.6634,0.0,0.4325,False,56,0.336611,16.16,stagnation
mushroom,STE_base,246,0.846,0.9071,0.0,0.4392,False,200,0.090412,39.26,stagnation
mushroom,STE_base,263,0.0048,0.6602,0.0,0.4328,False,54,0.34102,2.16,stagnation
mushroom,STE_base,280,0.0048,0.6602,0.0,0.4312,False,73,0.340107,15.82,stagnation
mushroom,STE_base,297,0.875,0.9189,0.0,0.4378,False,200,0.053314,47.32,stagnation
mushroom,STE_base,314,0.0024,0.6594,0.0,0.43,False,62,0.340969,7.31,stagnation
mushroom,STE_base,331,0.0418,0.665,0.0,0.4265,False,55,0.340766,15.46,stagnation
mushroom,STE_base,348,0.0,0.6602,0.0,0.4308,False,54,0.341577,2.97,stagnation
mushroom,STE_base,365,0.8694,0.9173,0.0,0.4312,False,200,0.069836,35.79,stagnation
mushroom,STE_base,382,0.0048,0.6602,0.0,0.4279,False,57,0.341425,17.38,stagnation
mushroom,STE_base,399,0.0141,0.659,0.0,0.4278,False,54,0.340766,6.42,stagnation
mushroom,STE_base,416,0.8634,0.9039,0.0,0.4359,False,200,0.06345,66.64,stagnation
