dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
spambase,STE_base,42,0.5466,0.3761,0.0,0.4334,False,51,0.601467,3.89,stagnation
spambase,STE_base,59,0.7074,0.6402,0.0,0.4279,False,200,0.239799,15.68,stagnation
spambase,STE_base,76,0.8016,0.7304,0.0,0.4413,False,200,0.122882,7.16,stagnation
spambase,STE_base,93,0.7362,0.6185,0.0,0.4316,False,200,0.193364,48.62,stagnation
spambase,STE_base,110,0.7104,0.6043,0.0,0.4391,False,200,0.229543,21.86,stagnation
spambase,STE_base,127,0.6881,0.7565,0.0,0.4355,False,200,0.192037,16.37,stagnation
spambase,STE_base,144,0.5945,0.7478,0.0,0.4319,False,168,0.219086,14.36,stagnation
spambase,STE_base,161,0.7423,0.6826,0.0,0.4201,False,186,0.194487,7.09,stagnation
spambase,STE_base,178,0.8348,0.788,0.0,0.4391,False,200,0.101021,9.33,stagnation
spambase,STE_base,195,0.5663,0.7217,0.0,0.443,False,200,0.237424,8.51,stagnation
spambase,STE_base,212,0.8551,0.7989,0.0,0.4297,False,200,0.083593,3.28,stagnation
spambase,STE_base,229,0.5597,0.7337,0.0,0.4297,False,200,0.247982,3.47,stagnation
spambase,STE_base,246,0.754,0.7663,0.0,0.4272,False,194,0.161925,7.58,stagnation
spambase,STE_base,263,0.7537,0.675,0.0,0.4281,False,200,0.183839,18.06,stagnation
spambase,STE_base,280,0.6137,0.4967,0.0,0.4412,False,200,0.431708,21.21,stagnation
spambase,STE_base,297,0.5737,0.7,0.0,0.4406,False,200,0.244598,15.18,stagnation
spambase,STE_base,314,0.5466,0.3761,0.0,0.4294,False,51,0.601467,1.44,stagnation
spambase,STE_base,331,0.7086,0.7815,0.0,0.4287,False,200,0.180496,3.46,stagnation
spambase,STE_base,348,0.7621,0.6815,0.0,0.4404,False,200,0.170692,18.71,stagnation
spambase,STE_base,365,0.8052,0.7522,0.0,0.4288,False,200,0.123882,36.24,stagnation
spambase,STE_base,382,0.6756,0.5641,0.0,0.4259,False,200,0.241908,18.17,stagnation
